EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -1    -1    -1    -2    0     -2    -1    0    -11.23  1.176928
 -1    1     0     0     -2    -2    -1    -1   -11.09  1.176453
 1     -1    -1    -2    0     0     -2    -1   -11.19  1.175348
 -1    0     0     -2    -2    -2    -2    -2   -11.19  1.173406
 -1    0     0     -2    -2    -2    -2    -2   -11.06  1.170824
 -1    0     -1    -1    0     -2    0     1    -11.02  1.167659
 -1    0     -1    -1    0     -2    0     1    -10.92  1.163968
 0     -2    0     0     -1    -1    0     0    -11.28  1.159659
 0     -1    -1    0     -1    -1    -1    -1   -11.34  1.154795
 0     -1    -1    0     -1    -1    -1    -1   -11.26  1.149931
 -2    -1    -2    -3    -2    -1    -1    0    -11.15  1.145643
 -1    0     -1    0     -1    -1    -1    0    -11.23  1.142027
 -1    -2    0     0     0     1     -1    -2   -11.29  1.138809
 -1    -2    0     0     0     1     -1    -2   -11.22  1.135680
 -2    -1    -1    -1    0     -1    -2    -4   -11.30  1.132068
 -2    -1    -1    -1    0     -1    -2    -4   -11.27  1.127036
 -1    -1    -2    -2    -1    -1    -1    -2   -11.23  1.119719
 -3    -1    -1    -1    -1    0     0     0    -11.22  1.109630
 -3    -1    -1    -1    -1    0     0     0    -11.23  1.096330
 1     -1    0     0     0     -1    -1    -2   -11.25  1.079364
 1     -1    0     0     0     -1    -1    -2   -11.33  1.058686
 0     -2    -1    0     2     -1    0     -2   -11.44  1.034950
 -2    -1    -1    -1    -2    -2    -2    0    -11.24  1.009251
 -1    -1    2     -2    -2    -1    0     0    -11.12  0.982690
 -1    -1    2     -2    -2    -1    0     0    -11.00  0.956369
 1     -1    -1    0     -1    0     -1    -1   -11.11  0.931231
 -2    -1    -3    -2    0     -2    1     0    -11.06  0.907824
 -2    -1    -3    -2    0     -2    1     0    -10.94  0.885923
 0     -2    -2    -2    -2    -1    0     -2   -11.06  0.865009
 -2    1     -1    -1    0     -1    0     0    -11.01  0.845003
 -2    1     -1    -1    0     -1    0     0    -11.03  0.825859
 0     -1    -1    -1    -2    0     1     -1   -10.99  0.807459
 -1    -2    0     0     0     -1    -3    -1   -10.85  0.789904
 -1    -2    0     0     0     -1    -3    -1   -10.94  0.773556
 -1    1     -2    -1    -1    -1    -1    -2   -11.06  0.758672
 -3    -2    -2    -2    -1    -1    -1    -1   -10.97  0.744968
 -3    -2    -2    -2    -1    -1    -1    -1   -11.04  0.731800
 -1    0     0     0     -2    -2    -1    -1   -11.15  0.718503
 -1    0     0     0     -2    -2    -1    -1   -11.11  0.705131
 0     0     0     -3    -1    0     -2    -1   -10.95  0.692546
 -2    -1    -1    -1    0     -1    -2    -1   -10.96  0.681685
 0     -1    0     -2    -1    -1    0     -2   -11.03  0.672863
 0     -1    0     -2    -1    -1    0     -2   -10.96  0.666225
 0     -2    0     1     0     0     -1    1    -11.12  0.662184
 -2    -2    -1    -3    0     -2    0     -1   -11.07  0.661029
 -2    1     0     0     0     -1    -1    -1   -11.09  0.662162
 0     -2    -1    -2    -3    -1    0     -1   -11.07  0.664673
 0     -2    -1    -2    -3    -1    0     -1   -11.05  0.668739
 0     -2    -2    -1    0     2     0     -3   -11.04  0.675413
 -1    -1    -1    -1    0     -3    -1    -1   -11.14  0.685594
 1     0     0     -1    -1    -2    -1    -1   -11.12  0.699141
 -1    -1    -1    0     -1    -2    0     -1   -10.85  0.715195
 -1    -2    -2    -1    -1    0     -1    -1   -11.02  0.733087
 -1    -1    0     -2    0     -2    -3    -1   -11.05  0.752335
 -2    -1    -2    -2    -2    -1    0     -1   -10.98  0.772340
 -1    0     0     -1    -1    -2    0     -2   -11.01  0.792518
 -1    0     0     -1    -1    -2    0     -2   -10.93  0.812373
 -1    0     -2    0     0     0     -1    1    -11.15  0.831800
 1     -2    -1    -1    0     0     -2    -2   -11.12  0.850428
 -2    -1    -1    -1    0     -1    -1    0    -11.17  0.867680
 -2    -1    -1    -1    0     -1    -1    0    -11.09  0.882601
 -1    -1    -2    -2    -2    -2    -1    -1   -11.03  0.894399
 2     -1    -1    0     -1    -1    -3    -1   -11.00  0.902885
 -1    -1    -1    -2    0     -1    -1    -1   -10.92  0.908182
 -1    -1    1     -1    -1    0     -1    -2   -11.22  0.910599
 -1    -1    1     -1    -1    0     -1    -2   -11.28  0.910460
 -1    -1    0     0     0     -1    -2    2    -11.15  0.908110
 -2    -1    0     1     -1    1     0     -1   -11.11  0.903833
 -3    -2    -2    -1    0     0     1     -2   -11.10  0.897453
 0     -1    -2    -2    -3    1     -1    -1   -11.11  0.888598
 0     -2    1     0     -1    -2    -2    -2   -11.13  0.877919
 0     -2    1     0     -1    -2    -2    -2   -11.11  0.866786
 -1    -2    -3    -1    0     0     0     -1   -11.24  0.856626
 -1    -1    1     1     -1    -1    0     -1   -11.24  0.847821
 -1    -1    1     1     -1    -1    0     -1   -11.09  0.840365
 0     0     -2    -1    -1    -1    -2    -1   -11.07  0.834224
 0     0     -2    -1    -1    -1    -2    -1   -11.05  0.829840
 -2    -1    -3    -2    -2    -2    0     0    -11.07  0.827698
 0     -1    0     -1    0     0     -1    0    -10.98  0.827912
 -2    0     0     0     -1    0     0     -2   -11.00  0.830212
 -2    0     0     0     -1    0     0     -2   -11.02  0.834139
 -1    -2    -1    -1    -2    0     -1    0    -10.95  0.838881
 -2    0     0     0     -1    -1    -1    -2   -10.99  0.844066
 -2    0     0     0     -1    -1    -1    -2   -11.05  0.849370
 0     0     -2    -1    0     -2    -1    -1   -10.98  0.854473
 0     0     -2    -1    0     -2    -1    -1   -10.89  0.859233
 -1    -2    -1    0     -1    1     -1    0    -10.93  0.863893
 -2    0     -1    -2    0     0     2     -1   -11.05  0.868392
 0     0     -2    -1    -1    -2    -2    1    -11.16  0.872351
 0     0     -2    -1    -1    -2    -2    1    -11.18  0.875856
 1     0     -1    -1    0     -1    -1    -2   -11.05  0.879285
 2     2     -1    0     0     0     -1    0    -11.02  0.882769
 2     2     -1    0     0     0     -1    0    -11.04  0.885641
 -3    -2    0     -1    0     -1    -1    -1   -10.94  0.886706
 -2    -1    0     1     0     -1    -2    -1   -10.90  0.884750
 -1    1     -2    -1    -1    0     -2    0    -10.99  0.879007
 0     -3    -1    -1    -1    -1    -1    -1   -11.02  0.869690
 -1    -3    -2    -4    -3    0     1     -1   -11.11  0.857935
 -1    -3    -2    -4    -3    0     1     -1   -11.21  0.845361
 -1    0     -1    -2    -1    -2    -1    -2   -11.25  0.833316
 -1    1     -1    -1    0     0     -1    1    -11.01  0.822766
 0     -2    -2    -1    -1    -1    -2    0    -11.04  0.814072
 -2    -2    0     0     -1    1     0     1    -11.11  0.807274
 -2    -2    0     0     -1    1     0     1    -11.19  0.802070
 0     3     -1    0     0     -1    -2    -1   -11.16  0.798043
 -2    -3    -1    0     -2    -2    1     -3   -11.16  0.794971
 -6    -1    -2    -1    -2    -1    -1    -1   -11.18  0.792428
 -1    1     -1    0     -1    -1    0     0    -11.24  0.789149
 -1    -2    -1    -1    -1    0     -2    -2   -11.20  0.784378
 1     -2    -3    -2    -2    -1    -1    -1   -11.22  0.778484
 -1    -2    0     0     0     -1    -2    1    -11.31  0.772158
 -2    -1    0     -2    -2    0     0     -1   -11.35  0.765814
 -2    -1    0     -2    -2    0     0     -1   -11.15  0.759684
 1     0     -4    -1    -1    0     1     -2   -11.12  0.753704
 1     -6    -2    1     2     -2    -1    -1   -11.24  0.748272
 1     5     0     -1    0     -3    0     1    -11.28  0.743866
 1     -3    -2    -2    -1    -1    -1    -2   -11.24  0.740658
 -3    -3    0     0     -1    0     -2    0    -11.24  0.738566
 -1    3     -1    -1    -2    0     -2    -2   -11.20  0.736996
 5     1     -1    0     -1    -2    -1    -2   -11.16  0.735383
 -5    -3    -2    -1    -2    0     0     -1   -11.21  0.732544
 -5    -3    -2    -1    -2    0     0     -1   -11.24  0.726771
 1     14    0     -1    0     0     -3    -2   -11.20  0.716611
 3     -11   2     0     -1    -2    -1    1    -11.07  0.701838
 3     4     -1    -3    -2    0     1     0    -11.25  0.682833
 -3    -5    -1    1     0     1     4     0    -11.47  0.659688
 -3    -2    -1    0     -1    -1    -3    1    -11.44  0.632444
 3     -3    0     0     -1    -1    0     0    -11.54  0.601251
 -2    -3    0     -3    0     -3    1     -2   -11.54  0.566182
 2     5     0     -1    -1    2     1     -2   -11.60  0.527769
