EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -3    -4    -2    -3    -6    -4    -4    -5   -7.30  -0.489304
 -2    -1    -6    -6    -3    -2    -2    -1   -7.00  -0.491103
 -1    -3    -4    -6    -4    -4    -2    -2   -7.10  -0.495634
 -1    -1    1     -2    -3    -2    -2    -2   -7.18  -0.504451
 2     0     0     -1    -1    -1    -1    -1   -7.22  -0.518254
 2     0     0     -1    -1    -1    -1    -1   -7.26  -0.537547
 -3    0     0     -4    -3    -2    -2    -1   -7.38  -0.562560
 0     1     2     4     1     1     0     0    -7.17  -0.593217
 0     1     2     4     1     1     0     0    -7.22  -0.629132
 -3    -1    -5    -2    -3    -2    -2    -2   -7.46  -0.669791
 -3    -1    -5    -2    -3    -2    -2    -2   -7.53  -0.714745
 -2    -2    5     -4    -3    -2    -1    -3   -7.44  -0.763986
 0     2     -1    -1    2     2     0     1    -7.51  -0.817811
 0     2     -1    -1    2     2     0     1    -7.56  -0.876086
 1     -1    -1    1     -1    -1    0     0    -7.57  -0.938260
 1     -1    -1    1     -1    -1    0     0    -7.66  -1.003306
 0     1     0     1     2     1     2     1    -7.53  -1.070284
 1     1     -1    -2    0     1     1     2    -7.50  -1.138613
 0     -1    -2    1     2     1     -2    -1   -7.67  -1.208142
 0     -1    1     3     2     -1    0     0    -7.51  -1.278962
 0     0     -5    -4    -3    -3    -2    -2   -7.42  -1.350832
 -1    -1    -5    1     1     1     0     0    -7.63  -1.423371
 -3    -2    2     -1    -2    0     0     0    -7.70  -1.495659
 -3    -5    -1    0     -8    -5    -5    -4   -7.62  -1.567309
 -3    -5    -1    0     -8    -5    -5    -4   -7.90  -1.638806
 0     2     1     -2    3     1     2     1    -7.97  -1.711665
 0     -1    -1    0     -1    -2    -1    -3   -7.86  -1.787728
 1     -2    -5    -3    -2    -2    -1    -1   -7.75  -1.867698
 -1    0     -2    -2    -1    1     -2    -1   -7.89  -1.951034
 -1    0     -2    -2    -1    1     -2    -1   -8.04  -2.037146
 0     1     2     2     0     1     2     0    -7.85  -2.125381
 0     1     2     2     0     1     2     0    -7.91  -2.215195
 -1    -2    -4    -2    1     -2    0     1    -7.97  -2.305831
 -1    0     0     1     1     -1    -6    0    -8.17  -2.396502
 -1    0     0     1     1     -1    -6    0    -8.07  -2.487279
 0     -4    -2    -3    0     -1    1     0    -8.07  -2.578785
 0     -4    -2    -3    0     -1    1     0    -8.18  -2.671570
 -3    -3    -3    -2    -3    -2    -3    -2   -8.26  -2.765296
 1     1     4     0     0     -1    -1    0    -8.48  -2.859041
 0     1     -2    0     -1    -3    -1    -2   -8.60  -2.951949
 -2    -1    0     -2    0     -3    -1    -3   -8.66  -3.043653
 -2    -1    0     -2    0     -3    -1    -3   -8.70  -3.133865
 -4    -2    1     3     1     -1    2     -4   -8.87  -3.223050
 -24   1     1     -1    -1    -1    -2    -2   -9.10  -3.311974
 3     -1    -4    -3    -1    -1    2     1    -9.17  -3.401139
