EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ 
 1     4     2     0     -2    -1    3     12   0.000082 0.000000 0.000041 
 -1    13    0     -2    1     -2    -1    0    0.000481 0.000082 0.000281 
 -1    13    0     -2    1     -2    -1    0    0.001397 0.000563 0.000980 
 -1    13    0     -2    1     -2    -1    0    0.002836 0.001960 0.002480 
 -1    13    0     -2    1     -2    -1    0    0.004714 0.004960 0.005071 
 -1    13    0     -2    1     -2    -1    0    0.006955 0.010143 0.008996 
 -1    13    0     -2    1     -2    -1    0    0.009489 0.017992 0.014449 
 -1    13    0     -2    1     -2    -1    0    0.012250 0.028899 0.021586 
 -1    13    0     -2    1     -2    -1    0    0.015180 0.043172 0.030523 
 -1    13    0     -2    1     -2    -1    0    0.018225 0.061045 0.041341 
 -1    13    0     -2    1     -2    -1    0    0.021335 0.082681 0.054090 
 -1    13    0     -2    1     -2    -1    0    0.024466 0.108181 0.068793 
 -1    13    0     -2    1     -2    -1    0    0.027580 0.137587 0.085446 
 -1    13    0     -2    1     -2    -1    0    0.030641 0.170892 0.104022 
 -1    13    0     -2    1     -2    -1    0    0.033618 0.208043 0.124474 
 -1    13    0     -2    1     -2    -1    0    0.036483 0.248947 0.146738 
 -1    13    0     -2    1     -2    -1    0    0.039214 0.293475 0.170734 
 -1    13    0     -2    1     -2    -1    0    0.041790 0.341467 0.196369 
 -1    13    0     -2    1     -2    -1    0    0.044195 0.392738 0.223539 
 -1    13    0     -2    1     -2    -1    0    0.046414 0.447079 0.252132 
 -1    13    0     -2    1     -2    -1    0    0.048436 0.504263 0.282025 
 -1    13    0     -2    1     -2    -1    0    0.050254 0.564049 0.313092 
 -1    13    0     -2    1     -2    -1    0    0.051860 0.626184 0.345203 
 -1    13    0     -2    1     -2    -1    0    0.053251 0.690407 0.378224 
 -1    13    0     -2    1     -2    -1    0    0.054426 0.756449 0.412020 
 -1    13    0     -2    1     -2    -1    0    0.055383 0.824041 0.446455 
 -1    13    0     -2    1     -2    -1    0    0.056125 0.892910 0.481395 
 -1    13    0     -2    1     -2    -1    0    0.056655 0.962789 0.516705 
 -1    13    0     -2    1     -2    -1    0    0.056978 1.033410 0.552256 
 -1    13    0     -2    1     -2    -1    0    0.057099 1.104512 0.587920 
 -1    13    0     -2    1     -2    -1    0    0.057024 1.175840 0.623574 
 -1    13    0     -2    1     -2    -1    0    0.056762 1.247149 0.659100 
 -1    13    0     -2    1     -2    -1    0    0.056321 1.318200 0.694383 
 -1    13    0     -2    1     -2    -1    0    0.055710 1.388766 0.729317 
 -1    13    0     -2    1     -2    -1    0    0.054938 1.458633 0.763798 
 -1    13    0     -2    1     -2    -1    0    0.054017 1.527596 0.797731 
 -1    13    0     -2    1     -2    -1    0    0.052956 1.595463 0.831028 
 -1    13    0     -2    1     -2    -1    0    0.051765 1.662056 0.863605 
 -1    13    0     -2    1     -2    -1    0    0.050457 1.727209 0.895386 
 -1    13    0     -2    1     -2    -1    0    0.049042 1.790772 0.926303 
