EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Estimatedtorque
 -2    16    7     3     -1    -4    -3    -3    0 0 0 0 0 0 0.319451
 1     -4    -24   -7    -3    0     2     1     0 0 0 0 0 0 0.637953
 1     -4    -24   -7    -3    0     2     1     0 0 0 0 0 0 0.953225
 3     -8    7     0     -4    0     0     0     0 0 0 0 0 0 1.261179
 -2    -5    -6    -4    -1    -1    0     2     0 0 0 0 0 0 1.236747
 -3    -17   -3    -4    -9    4     1     0     0 0 0 0 0 0 1.194107
 -3    -17   -3    -4    -9    4     1     0     0 0 0 0 0 0 1.129492
 1     17    0     -1    1     -6    4     1     0 0 0 0 0 0 1.041225
 -2    10    37    6     3     -1    0     -1    0 0 0 0 0 0 0.929253
 -2    10    37    6     3     -1    0     -1    0 0 0 0 0 0 0.793406
 -1    20    -3    -3    -1    0     0     -2    0 0 0 0 0 0 0.632468
 -1    20    -3    -3    -1    0     0     -2    0 0 0 0 0 0 0.444679
 1     2     1     0     2     -3    -3    -2    0 0 0 0 0 0 0.229788
 -4    -2    -11   -1    -6    -1    -1    -2    0 0 0 0 0 0 -0.018055
 -3    -1    6     1     -4    2     -2    -3    0 0 0 0 0 0 -0.560226
 -3    -1    6     1     -4    2     -2    -3    0 0 0 0 0 0 -1.108543
 1     -8    -7    2     5     0     -1    3     0 0 0 0 0 0 -1.632900
 1     -8    -7    2     5     0     -1    3     0 0 0 0 0 0 -2.103823
 -3    -19   -11   -2    1     1     0     1     0 0 0 0 0 0 -2.495123
 -3    -19   -11   -2    1     1     0     1     0 0 0 0 0 0 -2.786448
 1     -14   19    -1    1     2     -1    -3    0 0 0 0 0 0 -2.964746
 1     -14   19    -1    1     2     -1    -3    0 0 0 0 0 0 -3.024448
 -3    7     0     1     -4    -1    1     -2    0 0 0 0 0 0 -2.966545
 -3    7     0     1     -4    -1    1     -2    0 0 0 0 0 0 -2.798248
 -3    7     0     1     -4    -1    1     -2    0 0 0 0 0 0 -2.533550
 -3    7     0     1     -4    -1    1     -2    0 0 0 0 0 0 -2.194113
 -3    7     0     1     -4    -1    1     -2    0 0 0 0 0 0 -1.807579
 0     -39   -8    -3    4     -3    0     -1    0 0 0 0 0 0 -1.403812
 0     -39   -8    -3    4     -3    0     -1    0 0 0 0 0 0 -1.009954
 -2    0     -5    1     -1    -1    -2    0     0 0 0 0 0 0 -0.645750
 -2    0     -5    1     -1    -1    -2    0     0 0 0 0 0 0 -0.321520
 2     5     8     1     6     -2    1     3     0 0 0 0 0 0 -0.038725
 2     5     8     1     6     -2    1     3     0 0 0 0 0 0 0.097077
 -6    2     -19   -3    -2    -4    -3    -1    0 0 0 0 0 0 0.199442
 -6    2     -19   -3    -2    -4    -3    -1    0 0 0 0 0 0 0.293441
 -6    2     -19   -3    -2    -4    -3    -1    0 0 0 0 0 0 0.382764
 0     26    -7    -2    -2    2     0     -1    0 0 0 0 0 0 0.469842
 0     26    -7    -2    -2    2     0     -1    0 0 0 0 0 0 0.555835
 -2    -13   -11   -2    -1    1     0     0     0 0 0 0 0 0 0.641042
 -2    -13   -11   -2    -1    1     0     0     0 0 0 0 0 0 0.725446
 3     -33   22    5     -2    -2    6     4     0 0 0 0 0 0 0.809124
 3     -33   22    5     -2    -2    6     4     0 0 0 0 0 0 0.892470
 3     -33   22    5     -2    -2    6     4     0 0 0 0 0 0 0.976275
 -2    10    1     1     -2    0     -4    -2    0 0 0 0 0 0 1.061711
 -2    10    1     1     -2    0     -4    -2    0 0 0 0 0 0 1.150225
 -2    10    6     -2    -3    -5    -3    -3    0 0 0 0 0 0 1.243254
 4     11    0     8     10    4     5     4     0 0 0 0 0 0 1.342024
 4     11    0     8     10    4     5     4     0 0 0 0 0 0 1.447546
 4     11    0     8     10    4     5     4     0 0 0 0 0 0 1.560804
 2     31    -11   -4    -1    9     2     2     0 0 0 0 0 0 1.682995
 2     31    -11   -4    -1    9     2     2     0 0 0 0 0 0 1.815482
 -4    2     2     -3    0     -5    -4    -5    0 0 0 0 0 0 1.959666
 -4    2     2     -3    0     -5    -4    -5    0 0 0 0 0 0 2.116472
 1     -14   -30   0     0     0     2     1     0 0 0 0 0 0 2.285837
 1     -14   -30   0     0     0     2     1     0 0 0 0 0 0 2.466405
 1     -52   -5    -2    -7    -4    0     1     0 0 0 0 0 0 2.655646
 1     -52   -5    -2    -7    -4    0     1     0 0 0 0 0 0 2.850960
 -2    8     -11   2     0     -1    -3    -1    0 0 0 0 0 0 3.050920
 -3    24    7     2     0     -1    -1    -3    0 0 0 0 0 0 3.255255
 -3    3     -10   -6    -5    -2    -4    -4    0 0 0 0 0 0 3.464103
 -3    3     -10   -6    -5    -2    -4    -4    0 0 0 0 0 0 3.677062
 2     9     9     3     2     -1    1     4     0 0 0 0 0 0 3.892374
 -1    -17   8     -4    -5    -8    -5    -1    0 0 0 0 0 0 4.107343
 -1    -17   8     -4    -5    -8    -5    -1    0 0 0 0 0 0 4.319283
 -3    26    21    2     1     -2    -4    -3    0 0 0 0 0 0 4.525983
 -3    26    21    2     1     -2    -4    -3    0 0 0 0 0 0 4.725807
 1     31    16    3     -4    -9    -1    -1    0 0 0 0 0 0 4.917757
 1     31    16    3     -4    -9    -1    -1    0 0 0 0 0 0 5.101310
 4     1     -7    1     -5    4     7     4     0 0 0 0 0 0 5.276226
 4     1     -7    1     -5    4     7     4     0 0 0 0 0 0 5.442221
 4     1     -7    1     -5    4     7     4     0 0 0 0 0 0 5.598669
 -7    -4    8     0     0     1     -3    -4    0 0 0 0 0 0 5.744753
 -7    -4    8     0     0     1     -3    -4    0 0 0 0 0 0 5.879663
 0     -2    -8    -7    -1    -8    -2    2     0 0 0 0 0 0 6.002888
 0     -2    -8    -7    -1    -8    -2    2     0 0 0 0 0 0 6.114274
 3     9     0     2     7     4     1     2     0 0 0 0 0 0 6.213745
 3     9     0     2     7     4     1     2     0 0 0 0 0 0 6.301223
 -2    -6    -4    -1    -1    0     -2    -2    0 0 0 0 0 0 6.376683
 -2    -6    -4    -1    -1    0     -2    -2    0 0 0 0 0 0 6.440215
 -1    8     2     -3    1     2     3     1     0 0 0 0 0 0 6.491977
 -1    8     2     -3    1     2     3     1     0 0 0 0 0 0 6.532072
 2     -21   -9    -4    -5    -1    1     3     0 0 0 0 0 0 6.560499
 2     -21   -9    -4    -5    -1    1     3     0 0 0 0 0 0 6.577369
 2     -21   -9    -4    -5    -1    1     3     0 0 0 0 0 0 6.583206
 -2    -29   3     2     0     -3    -5    -7    0 0 0 0 0 0 6.579209
 3     -3    -8    -3    1     3     3     3     0 0 0 0 0 0 6.567280
 3     -3    -8    -3    1     3     3     3     0 0 0 0 0 0 6.549513
 0     22    -1    -3    -1    0     -2    -1    0 0 0 0 0 0 6.527678
 -1    9     7     3     -5    1     -2    -1    0 0 0 0 0 0 6.502802
 -1    9     7     3     -5    1     -2    -1    0 0 0 0 0 0 6.475113
 1     -4    2     -3    -2    2     -2    1     0 0 0 0 0 0 6.444181
 1     -4    2     -3    -2    2     -2    1     0 0 0 0 0 0 6.409129
 0     -11   -6    -5    -4    1     0     2     0 0 0 0 0 0 6.368888
 0     6     0     2     2     0     1     0     0 0 0 0 0 0 6.322316
 4     12    -1    -1    6     5     4     5     0 0 0 0 0 0 6.268495
 4     12    -1    -1    6     5     4     5     0 0 0 0 0 0 6.207058
 4     12    -1    -1    6     5     4     5     0 0 0 0 0 0 6.138310
 0     1     -9    -1    -1    0     0     2     0 0 0 0 0 0 6.063074
 -1    4     0     0     0     -4    -3    0     0 0 0 0 0 0 5.982068
 -2    1     -4    -4    -2    -3    -2    -3    0 0 0 0 0 0 5.895319
 -2    1     -4    -4    -2    -3    -2    -3    0 0 0 0 0 0 5.801824
 -1    -18   -1    1     3     2     2     -1    0 0 0 0 0 0 5.699696
 -1    -18   -1    1     3     2     2     -1    0 0 0 0 0 0 5.586984
 1     -1    -7    -1    0     2     -3    1     0 0 0 0 0 0 5.462211
 1     -1    -7    -1    0     2     -3    1     0 0 0 0 0 0 5.324240
 -1    -11   -1    2     -2    -1    -2    -1    0 0 0 0 0 0 5.171933
 1     -10   5     2     1     -1    0     -2    0 0 0 0 0 0 5.004047
 -4    8     3     -1    -5    0     -3    -3    0 0 0 0 0 0 4.819405
 -4    8     3     -1    -5    0     -3    -3    0 0 0 0 0 0 4.617304
 -4    8     3     -1    -5    0     -3    -3    0 0 0 0 0 0 4.397792
 -4    -5    -4    1     -1    -10   -4    -2    0 0 0 0 0 0 4.161480
 -2    22    -3    -2    4     -3    0     -1    0 0 0 0 0 0 3.909360
 -3    1     1     -2    -4    -5    -4    -3    0 0 0 0 0 0 3.642967
 -3    1     1     -2    -4    -5    -4    -3    0 0 0 0 0 0 3.364254
 0     -2    11    6     3     4     1     1     0 0 0 0 0 0 3.075330
 0     -2    11    6     3     4     1     1     0 0 0 0 0 0 2.778458
 -3    -4    11    -1    -4    -5    -2    -3    0 0 0 0 0 0 2.476230
 3     13    5     5     4     5     2     2     0 0 0 0 0 0 2.171997
 1     1     -15   2     4     -1    2     -1    0 0 0 0 0 0 1.870098
 -3    -10   -2    -9    -2    3     2     -3    0 0 0 0 0 0 1.575465
 1     2     1     -4    -2    -2    0     4     0 0 0 0 0 0 1.292592
 0     6     -11   -1    -2    -2    -1    -1    0 0 0 0 0 0 1.024834
 0     6     -11   -1    -2    -2    -1    -1    0 0 0 0 0 0 0.774084
 -1    1     4     -3    0     -5    -3    0     0 0 0 0 0 0 0.541062
 -1    1     4     -3    0     -5    -3    0     0 0 0 0 0 0 0.325859
 1     15    1     -1    3     3     3     2     0 0 0 0 0 0 0.128006
 -3    0     -8    -3    -3    -1    0     -1    0 0 0 0 0 0 -0.113865
 0     -41   -2    4     1     -1    0     -1    0 0 0 0 0 0 -0.467455
 0     -41   -2    4     1     -1    0     -1    0 0 0 0 0 0 -0.786636
 3     6     -2    -4    -2    0     -1    1     0 0 0 0 0 0 -1.068157
 3     6     -2    -4    -2    0     -1    1     0 0 0 0 0 0 -1.307383
 3     6     -2    -4    -2    0     -1    1     0 0 0 0 0 0 -1.500917
 0     -1    -4    1     -5    -4    -3    1     0 0 0 0 0 0 -1.648481
 -3    4     -8    -5    0     -5    -1    -2    0 0 0 0 0 0 -1.753878
 -3    -40   -12   -3    -2    3     0     -2    0 0 0 0 0 0 -1.822519
 -3    -40   -12   -3    -2    3     0     -2    0 0 0 0 0 0 -1.857590
 2     8     1     -1    -4    -2    1     1     0 0 0 0 0 0 -1.858580
 2     8     1     -1    -4    -2    1     1     0 0 0 0 0 0 -1.822824
 -2    -5    3     -3    -3    -4    2     -2    0 0 0 0 0 0 -1.748249
 -1    29    7     5     5     6     0     -1    0 0 0 0 0 0 -1.635704
 -3    14    0     -3    -4    0     -3    -3    0 0 0 0 0 0 -1.489000
 -3    14    0     -3    -4    0     -3    -3    0 0 0 0 0 0 -1.313221
 1     1     -3    0     -7    -3    -1    0     0 0 0 0 0 0 -1.113302
 4     5     0     0     1     -3    4     6     0 0 0 0 0 0 -0.894386
 4     5     0     0     1     -3    4     6     0 0 0 0 0 0 -0.662827
 -2    13    6     -3    -3    -3    -3    -3    0 0 0 0 0 0 -0.425816
 -2    13    6     -3    -3    -3    -3    -3    0 0 0 0 0 0 -0.190052
 -3    -23   8     0     5     -1    -1    -2    0 0 0 0 0 0 0.018702
 -3    -23   8     0     5     -1    -1    -2    0 0 0 0 0 0 0.122990
 1     22    5     0     4     2     4     3     0 0 0 0 0 0 0.224862
 1     22    5     0     4     2     4     3     0 0 0 0 0 0 0.325982
 1     22    5     0     4     2     4     3     0 0 0 0 0 0 0.428217
 2     8     3     3     1     0     3     1     0 0 0 0 0 0 0.532993
 -3    15    11    6     3     -4    -4    -2    0 0 0 0 0 0 0.640998
 -3    0     -8    -7    -1    0     -1    -4    0 0 0 0 0 0 0.752223
 -3    0     -8    -7    -1    0     -1    -4    0 0 0 0 0 0 0.866103
 -4    -6    -6    8     4     -4    -4    -4    0 0 0 0 0 0 0.981846
 -4    -6    -6    8     4     -4    -4    -4    0 0 0 0 0 0 1.098643
 -2    26    14    -4    -2    5     2     2     0 0 0 0 0 0 1.215959
 -2    26    14    -4    -2    5     2     2     0 0 0 0 0 0 1.333991
 0     -3    -3    -2    -5    -5    -4    -2    0 0 0 0 0 0 1.453747
 0     -3    -3    -2    -5    -5    -4    -2    0 0 0 0 0 0 1.576677
 3     7     4     -2    1     2     1     3     0 0 0 0 0 0 1.703853
 3     7     4     -2    1     2     1     3     0 0 0 0 0 0 1.835251
 -3    8     -7    -1    -6    -2    -5    -5    0 0 0 0 0 0 1.969754
 0     -13   -6    -4    -3    -1    1     2     0 0 0 0 0 0 2.105725
 -2    -24   -24   -1    0     -8    -1    0     0 0 0 0 0 0 2.241926
 -2    -24   -24   -1    0     -8    -1    0     0 0 0 0 0 0 2.378558
 -1    -10   -8    -4    0     2     -2    0     0 0 0 0 0 0 2.517354
 2     -6    4     3     4     1     -2    -1    0 0 0 0 0 0 2.661063
 2     -6    4     3     4     1     -2    -1    0 0 0 0 0 0 2.812081
 -3    2     -1    -1    -9    0     2     0     0 0 0 0 0 0 2.970844
 -3    2     -1    -1    -9    0     2     0     0 0 0 0 0 0 3.135328
 4     8     22    1     3     3     2     3     0 0 0 0 0 0 3.301577
 4     8     22    1     3     3     2     3     0 0 0 0 0 0 3.465436
 2     -13   -11   -1    3     4     -1    -3    0 0 0 0 0 0 3.623996
 2     -13   -11   -1    3     4     -1    -3    0 0 0 0 0 0 3.775994
 2     12    -10   1     7     4     2     3     0 0 0 0 0 0 3.921091
 2     12    -10   1     7     4     2     3     0 0 0 0 0 0 4.058749
 -5    -11   -4    0     -4    -6    -7    -6    0 0 0 0 0 0 4.187646
 -5    -11   -4    0     -4    -6    -7    -6    0 0 0 0 0 0 4.305513
 3     -10   -15   -1    1     1     6     2     0 0 0 0 0 0 4.409845
 2     9     -3    4     5     2     3     2     0 0 0 0 0 0 4.498519
 2     9     -3    4     5     2     3     2     0 0 0 0 0 0 4.569909
 1     -3    -19   -1    1     4     4     3     0 0 0 0 0 0 4.622941
 1     15    17    5     -6    -4    0     1     0 0 0 0 0 0 4.656997
 1     15    17    5     -6    -4    0     1     0 0 0 0 0 0 4.671886
 1     15    17    5     -6    -4    0     1     0 0 0 0 0 0 4.667896
 0     0     -5    -7    -1    0     1     -1    0 0 0 0 0 0 4.645536
 0     0     -5    -7    -1    0     1     -1    0 0 0 0 0 0 4.605166
 -4    -6    5     0     -1    -2    -6    -3    0 0 0 0 0 0 4.546683
 -2    -31   -18   1     3     1     1     0     0 0 0 0 0 0 4.469849
 -5    -7    3     5     2     -2    -2    -4    0 0 0 0 0 0 4.375115
 -5    -7    3     5     2     -2    -2    -4    0 0 0 0 0 0 4.264141
 -5    -7    3     5     2     -2    -2    -4    0 0 0 0 0 0 4.139585
 1     -14   7     -1    3     1     0     0     0 0 0 0 0 0 4.004716
 -2    -18   -7    -2    -2    -3    0     -2    0 0 0 0 0 0 3.862838
 -2    -18   -7    -2    -2    -3    0     -2    0 0 0 0 0 0 3.717192
 -1    -3    14    2     0     -4    -3    -1    0 0 0 0 0 0 3.571087
 2     -14   -1    -2    -3    -4    -1    2     0 0 0 0 0 0 3.427455
 3     8     -4    -4    0     8     4     3     0 0 0 0 0 0 3.288609
 3     8     -4    -4    0     8     4     3     0 0 0 0 0 0 3.156100
 3     8     -4    -4    0     8     4     3     0 0 0 0 0 0 3.030951
 -4    -10   -20   -4    -2    -2    -3    -5    0 0 0 0 0 0 2.913847
 0     17    9     3     5     -1    4     2     0 0 0 0 0 0 2.805218
 -5    14    5     -4    -6    -5    -8    -7    0 0 0 0 0 0 2.705386
 -5    14    5     -4    -6    -5    -8    -7    0 0 0 0 0 0 2.614639
 1     9     -2    1     2     2     3     2     0 0 0 0 0 0 2.533499
 1     9     -2    1     2     2     3     2     0 0 0 0 0 0 2.462665
 2     8     5     1     -8    3     0     1     0 0 0 0 0 0 2.402639
 2     8     5     1     -8    3     0     1     0 0 0 0 0 0 2.353479
 -1    -4    0     -6    -1    -2    1     2     0 0 0 0 0 0 2.314664
 1     11    1     -3    0     -2    -3    0     0 0 0 0 0 0 2.285244
 0     -4    4     -2    1     1     1     2     0 0 0 0 0 0 2.264162
 0     -4    4     -2    1     1     1     2     0 0 0 0 0 0 2.250407
 0     -4    4     -2    1     1     1     2     0 0 0 0 0 0 2.242912
 -4    16    9     0     -2    -8    -5    -5    0 0 0 0 0 0 2.240583
 0     -41   -24   -3    3     1     6     5     0 0 0 0 0 0 2.242650
 0     -6    0     -3    -3    -1    0     -2    0 0 0 0 0 0 2.249161
 0     -6    0     -3    -3    -1    0     -2    0 0 0 0 0 0 2.260912
 3     -9    12    5     6     0     2     1     0 0 0 0 0 0 2.278701
 3     -9    12    5     6     0     2     1     0 0 0 0 0 0 2.302787
 3     -9    12    5     6     0     2     1     0 0 0 0 0 0 2.332357
 1     -5    -11   -4    -3    -3    0     -1    0 0 0 0 0 0 2.365652
 -1    -25   1     3     -1    0     0     0     0 0 0 0 0 0 2.400908
 -2    -8    -19   -6    1     3     2     2     0 0 0 0 0 0 2.436855
 -2    -8    -19   -6    1     3     2     2     0 0 0 0 0 0 2.472746
 1     -1    8     7     2     -3    -2    -1    0 0 0 0 0 0 2.508076
 1     -1    8     7     2     -3    -2    -1    0 0 0 0 0 0 2.542034
 -3    -28   -19   2     -3    -3    -3    -2    0 0 0 0 0 0 2.573357
 -3    -28   -19   2     -3    -3    -3    -2    0 0 0 0 0 0 2.601122
 -3    -28   -19   2     -3    -3    -3    -2    0 0 0 0 0 0 2.625758
 1     8     18    4     6     3     1     0     0 0 0 0 0 0 2.649215
 -2    -6    -3    3     1     -1    -2    1     0 0 0 0 0 0 2.673997
 -2    -6    -3    3     1     -1    -2    1     0 0 0 0 0 0 2.701776
 -2    -6    -3    3     1     -1    -2    1     0 0 0 0 0 0 2.732589
 -4    8     3     -7    -6    -4    -6    -6    0 0 0 0 0 0 2.765116
 -4    8     3     -7    -6    -4    -6    -6    0 0 0 0 0 0 2.797499
 1     8     -8    6     6     2     0     2     0 0 0 0 0 0 2.828105
 1     8     -8    6     6     2     0     2     0 0 0 0 0 0 2.855788
 -2    13    13    -1    -1    -10   -3    -2    0 0 0 0 0 0 2.879824
 -2    13    13    -1    -1    -10   -3    -2    0 0 0 0 0 0 2.899843
 4     8     -8    0     2     3     5     2     0 0 0 0 0 0 2.915733
 4     8     -8    0     2     3     5     2     0 0 0 0 0 0 2.927452
 4     8     -8    0     2     3     5     2     0 0 0 0 0 0 2.934914
 2     -4    0     -1    -6    -4    0     0     0 0 0 0 0 0 2.937956
 0     19    -28   -15   -7    -3    2     0     0 0 0 0 0 0 2.936294
 -6    -30   5     -3    -5    -1    -4    -6    0 0 0 0 0 0 2.929850
 -6    -30   5     -3    -5    -1    -4    -6    0 0 0 0 0 0 2.919481
 2     5     -13   -2    -4    1     0     2     0 0 0 0 0 0 2.907011
 2     5     -13   -2    -4    1     0     2     0 0 0 0 0 0 2.894819
 1     15    4     9     0     -5    -5    -3    0 0 0 0 0 0 2.884912
 -3    -13   10    -5    -3    1     1     1     0 0 0 0 0 0 2.878238
 1     10    -8    3     4     1     0     -1    0 0 0 0 0 0 2.874835
 1     10    -8    3     4     1     0     -1    0 0 0 0 0 0 2.874230
 0     -9    -6    5     2     -2    0     -1    0 0 0 0 0 0 2.875936
 4     -9    -8    7     7     7     6     5     0 0 0 0 0 0 2.879533
