EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 2     0     -1    -3    -1    -1    -2    -4   0.14  -0.489183
 -1    -2    -1    0     -1    -2    0     0    0.23  -0.490293
 -1    0     -1    -3    -1    -1    -2    -3   0.21  -0.493027
 -1    -5    -1    -3    -1    0     -3    -1   0.44  -0.498576
 -1    -1    -2    -2    -2    -2    -1    -3   0.13  -0.507743
 -1    -1    -2    -2    -2    -2    -1    -3   -0.11  -0.521648
 -2    1     -1    1     -1    -2    -1    -1   0.06  -0.541022
 -2    1     -1    1     -1    -2    -1    -1   0.16  -0.566207
 2     0     -2    0     -1    -1    -1    -1   0.11  -0.597257
 -2    1     0     0     0     1     -1    -1   -0.07  -0.633955
 -2    1     0     0     0     1     -1    -1   -0.03  -0.676079
 -2    -1    -2    -1    -1    -1    -1    -2   -0.11  -0.723446
 -2    -1    -2    -1    -1    -1    -1    -2   0.14  -0.775943
 1     -2    -1    -2    -3    0     -1    -1   0.22  -0.833476
 0     0     0     1     0     -1    -1    0    0.22  -0.895883
 0     0     0     1     0     -1    -1    0    0.02  -0.962771
 -1    -3    -2    0     -1    -2    -1    -1   -0.13  -1.033551
 -1    -3    -2    0     -1    -2    -1    -1   -0.04  -1.107614
 0     1     -1    -1    -1    -1    1     0    0.02  -1.184417
 1     -1    0     0     -1    0     -1    -1   -0.04  -1.263473
 -1    -2    1     -2    0     1     -1    -1   0.10  -1.344336
 -1    -2    1     -2    0     1     -1    -1   0.12  -1.426574
 -5    -3    1     -1    -2    -1    -1    1    0.03  -1.509878
 3     2     -1    -1    1     -2    -2    -1   0.21  -1.593978
 2     5     -1    1     0     1     -3    -1   -0.05  -1.678813
 2     5     -1    1     0     1     -3    -1   -0.04  -1.764614
 0     -3    0     -2    -2    -1    1     -1   0.11  -1.851783
 0     -3    0     -2    -2    -1    1     -1   0.08  -1.940513
 -4    -8    -3    -3    -2    -3    0     -1   0.10  -2.030565
 -4    -8    -3    -3    -2    -3    0     -1   0.17  -2.121119
 -13   -2    -5    -5    -1    0     -1    -3   0.38  -2.211265
 -3    -3    -3    -2    -2    -3    -2    -2   0.06  -2.300354
 8     -1    0     2     0     0     1     0    -0.07  -2.388126
 8     -1    0     2     0     0     1     0    0.10  -2.474494
 -10   6     -3    -3    -3    -1    3     0    0.12  -2.559152
 -11   2     -1    -2    -2    2     1     3    0.05  -2.641693
 -11   2     -1    -2    -2    2     1     3    -0.06  -2.722133
 20    0     2     3     3     3     -5    1    -0.01  -2.801073
 20    0     2     3     3     3     -5    1    0.07  -2.879513
 -9    7     2     5     2     4     -4    0    0.24  -2.958586
 3     -5    -5    -6    -1    3     4     -3   0.02  -3.039438
 5     -25   -3    -1    0     -1    -4    0    0.18  -3.122898
 10    -4    2     0     3     -1    -6    1    0.24  -3.209440
 10    -4    2     0     3     -1    -6    1    0.09  -3.300015
 25    2     0     0     -1    7     -15   -3   0.13  -3.396221
 -15   6     -2    -3    -5    -3    2     7    0.07  -3.501338
 -26   -8    -5    -11   -8    -11   11    -16  -0.01  -3.619286
 18    22    0     -2    -3    -12   -1    12   0.07  -3.755617
 18    22    0     -2    -3    -12   -1    12   0.09  -3.913948
 -5    25    7     13    10    13    19    0    0.14  -4.098496
 32    4     -2    -6    -7    -6    23    32   0.14  -4.313509
 34    13    6     8     7     -1    -9    -2   0.10  -4.567094
 -23   -21   -2    -5    -3    7     -15   9    0.23  -4.866839
 -23   -21   -2    -5    -3    7     -15   9    0.10  -5.219817
 3     13    -5    -8    -10   -29   4     2    0.05  -5.625563
 11    23    8     9     15    17    -12   -48  0.01  -6.084612
 -25   -74   -33   -40   -30   -17   -1    17   0.01  -6.598515
 -7    -10   -9    -11   -16   14    40    32   0.13  -7.167274
 -7    -10   -9    -11   -16   14    40    32   0.13  -7.800526
 -12   22    1     5     4     27    53    9    0.24  -8.508062
 -12   22    1     5     4     27    53    9    0.05  -9.305296
 37    5     14    27    18    7     -33   -16  0.04  -10.199253
 50    27    10    12    6     -42   -51   -21  0.06  -11.186884
 50    27    10    12    6     -42   -51   -21  0.11  -12.259268
 -27   -8    4     5     16    24    -38   -26  0.10  -13.402332
 -27   -8    4     5     16    24    -38   -26  0.09  -14.599680
 -18   11    2     2     -2    -9    -3    -13  0.09  -15.827414
 -9    6     3     4     4     -11   -62   -13  -0.08  -17.056131
 -17   -2    0     7     2     -10   64    21   -0.08  -18.262461
 35    8     1     -4    2     -2    -23   -3   0.09  -19.427784
 35    8     1     -4    2     -2    -23   -3   0.30  -20.539650
 -15   -18   -6    -6    -6    12    -6    -8   0.06  -21.584204
 5     3     -8    -13   -13   -5    21    22   0.01  -22.548014
 -9    -6    -4    -9    -3    2     -9    -5   -0.02  -23.425253
 -9    -6    -4    -9    -3    2     -9    -5   0.09  -24.214798
 -35   1     0     4     0     -5    13    -2   0.09  -24.920183
 -7    -3    -3    -1    -2    -1    -16   -7   0.10  -25.546488
 -7    -3    -3    -1    -2    -1    -16   -7   0.16  -26.100805
 9     5     0     1     -4    -7    1     3    0.04  -26.590570
 9     5     0     1     -4    -7    1     3    0.05  -27.022520
 -2    -5    -1    -2    -1    3     1     -1   -0.01  -27.402494
 -1    0     -2    -4    -1    -5    -9    -5   0.06  -27.735434
 -7    -2    -1    -3    -1    2     -1    -1   0.19  -28.026161
 -4    -2    -3    0     0     -2    -1    -3   0.04  -28.278980
 -4    -2    -3    0     0     -2    -1    -3   0.03  -28.497698
 1     0     0     -2    -2    -2    -2    -1   0.19  -28.685329
 1     0     0     -2    -2    -2    -2    -1   0.15  -28.844734
 -2    -3    -1    -1    -3    -2    -1    -3   0.15  -28.978563
 -1    -2    1     -2    1     1     1     -1   0.26  -29.089052
 -1    -2    1     -2    1     1     1     -1   0.19  -29.177973
 -3    -1    -2    0     -2    0     -1    -1   0.09  -29.246727
 -3    -1    -2    0     -2    0     -1    -1   0.02  -29.296331
 -1    0     -2    -1    -1    0     -2    -1   0.02  -29.327520
