EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 4     -2    0     0     -1    -1    0     -2   -13.11  -0.460484
 -39   -3    -1    0     0     -2    2     -2   -12.96  -0.462910
 19    4     0     1     1     3     -2    7    -13.04  -0.472680
 19    4     0     1     1     3     -2    7    -12.99  -0.496857
 -3    -4    -1    0     0     3     -3    -3   -12.91  -0.542658
 -3    -4    -1    0     0     3     -3    -3   -13.04  -0.611534
 35    -2    -2    -1    -3    -8    -4    -1   -12.95  -0.702347
 35    -2    -2    -1    -3    -8    -4    -1   -12.96  -0.814095
 7     2     -1    -1    0     2     0     -1   -13.05  -0.947618
 -5    0     0     -1    -1    -3    2     -3   -12.98  -1.104174
 -5    0     0     -1    -1    -3    2     -3   -13.03  -1.282582
 -11   -3    -1    -2    -1    -5    -8    -5   -13.08  -1.479117
 -11   -3    -1    -2    -1    -5    -8    -5   -13.02  -1.690956
 -6    1     -1    -1    -2    2     3     1    -13.09  -1.915322
 -10   -4    0     1     -1    3     1     -6   -13.15  -2.149769
 -10   -4    0     1     -1    3     1     -6   -13.24  -2.392429
 9     0     -1    1     -1    -2    -3    -1   -13.30  -2.641408
 9     0     -1    1     -1    -2    -3    -1   -13.20  -2.894754
 0     -2    -2    -3    0     0     2     2    -13.28  -3.148370
 14    0     -2    -1    -1    -2    -4    -1   -13.41  -3.396235
 14    0     -2    -1    -1    -2    -4    -1   -13.39  -3.633204
 -17   -2    -3    -2    -1    -1    -2    -2   -13.28  -3.855437
 -17   -2    -3    -2    -1    -1    -2    -2   -13.23  -4.061677
 -8    -2    -2    -1    -2    0     9     5    -13.32  -4.250993
 -48   0     0     0     0     1     -3    -4   -13.35  -4.425333
 -48   0     0     0     0     1     -3    -4   -13.40  -4.593396
 17    2     0     -1    -2    0     0     2    -13.37  -4.767360
 17    2     0     -1    -2    0     0     2    -13.40  -4.958593
 -8    -2    -1    0     0     -2    -2    -2   -13.41  -5.170295
 -1    -1    -2    -1    -1    -2    0     0    -13.45  -5.396463
 4     -3    -1    -1    0     4     10    12   -13.31  -5.628317
 4     -3    -1    -1    0     4     10    12   -13.51  -5.857564
 1     1     0     -1    -1    -1    -5    -6   -13.59  -6.078174
 1     1     0     -1    -1    -1    -5    -6   -13.47  -6.286850
 12    -2    -1    0     0     -3    -2    -4   -13.46  -6.479869
 3     -2    -2    0     -1    -2    -2    -5   -13.57  -6.652856
 3     -2    -2    0     -1    -2    -2    -5   -13.64  -6.801384
 14    -2    -1    -1    -3    -8    -8    -4   -13.45  -6.922190
 14    -2    -1    -1    -3    -8    -8    -4   -13.45  -7.013865
 -5    2     -1    0     1     2     2     1    -13.57  -7.077368
 10    3     0     -1    -2    -8    2     5    -13.51  -7.114592
 10    3     0     -1    -2    -8    2     5    -13.49  -7.127675
 -36   0     -1    0     2     2     -2    -7   -13.50  -7.120468
 -36   0     -1    0     2     2     -2    -7   -13.55  -7.103210
 5     -3    0     0     -1    0     -2    -2   -13.51  -7.086958
 -1    -1    -1    -1    -3    -6    -3    2    -13.46  -7.079099
 -1    -1    -1    -1    -3    -6    -3    2    -13.32  -7.077943
 6     -2    0     0     0     1     1     0    -13.60  -7.074487
 6     -2    0     0     0     1     1     0    -13.82  -7.061746
 1     1     0     -1    -1    3     -5    -1   -13.82  -7.035179
 1     1     0     -1    1     0     4     3    -13.64  -6.991618
 25    -2    -1    -1    -1    -2    -6    0    -13.66  -6.929798
 8     0     -2    0     0     2     -5    -1   -13.89  -6.850966
 8     0     -2    0     0     2     -5    -1   -13.73  -6.756739
 -8    -2    -2    0     -1    -4    0     -1   -13.72  -6.648998
 -8    -2    -2    0     -1    -4    0     -1   -13.54  -6.526581
 -6    -1    0     -1    -2    1     2     -1   -13.45  -6.389332
 -6    -1    0     -1    -2    1     2     -1   -13.39  -6.238366
 -37   -2    -1    -1    -2    6     1     -5   -13.51  -6.077754
 -37   -2    -1    -1    -2    6     1     -5   -13.76  -5.916658
 1     -1    0     -1    1     -1    -2    -2   -13.72  -5.765841
