EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -2    -1    -2    0     0     1     -1    -1   -0.55  -1.176839
 0     0     -1    -1    -2    0     -2    0    -0.57  -1.176045
 0     0     -1    -1    -2    0     -2    0    -0.63  -1.174661
 5     -1    -1    -1    0     -1    -2    -2   -0.68  -1.172830
 0     0     -2    -1    -1    -1    -2    -1   -0.57  -1.169983
 -5    -7    -1    -1    -1    -3    -3    -2   -0.56  -1.165016
 0     1     0     -1    -1    -1    -1    -2   -0.49  -1.156926
 0     1     0     -1    -1    -1    -1    -2   -0.41  -1.145615
 0     1     -1    -1    -3    -1    1     0    -0.60  -1.132132
 -1    1     -2    -2    -1    0     -1    -1   -0.66  -1.118013
 -1    0     -2    -1    -2    -3    -1    0    -0.59  -1.104298
 -1    0     -2    -1    -2    -3    -1    0    -0.52  -1.091731
 1     2     -2    -2    0     0     2     -1   -0.73  -1.080523
 1     2     -2    -2    0     0     2     -1   -0.56  -1.070666
 -2    -2    -2    2     1     -1    -2    -1   -0.43  -1.061740
 0     -2    1     -1    -1    -2    -1    -1   -0.40  -1.053136
 0     -2    1     -1    -1    -2    -1    -1   -0.58  -1.044824
 0     1     -1    -2    -2    -1    0     -1   -0.56  -1.037518
 -2    -5    0     0     -1    -1    -1    -1   -0.42  -1.031910
 -1    -2    -2    -1    -1    -1    -1    1    -0.49  -1.028059
 -1    -2    -2    -1    -1    -1    -1    1    -0.43  -1.025702
 -1    2     -1    -1    -1    0     -1    -2   -0.59  -1.024511
 -1    2     -1    -1    -1    0     -1    -2   -0.57  -1.024289
 1     -1    -1    0     -1    0     -1    -2   -0.61  -1.024844
 -1    3     1     0     1     0     1     -1   -0.46  -1.026009
 -1    3     1     0     1     0     1     -1   -0.44  -1.027637
 -2    1     -1    -1    -1    0     -1    -1   -0.24  -1.029482
 0     -1    0     -2    -1    0     -2    -1   -0.34  -1.031245
 0     -1    0     -2    -1    0     -2    -1   -0.37  -1.032958
 -2    -2    -1    -1    -1    -2    0     -2   -0.56  -1.034939
 -2    1     -2    -1    -1    0     -2    0    -0.49  -1.037057
 -2    1     -2    -1    -1    0     -2    0    -0.34  -1.038619
 -1    -4    -1    -1    -2    -1    -1    -1   -0.38  -1.039041
 0     0     -1    0     -1    -1    -1    -1   -0.27  -1.038387
 0     0     -1    0     -1    -1    -1    -1   -0.39  -1.037293
 2     5     -1    -1    0     -1    1     0    -0.35  -1.036434
 2     5     -1    -1    0     -1    1     0    -0.51  -1.035483
 -3    -4    -1    -2    -1    -1    1     -2   -0.57  -1.033391
 0     -2    -2    -2    -1    -3    0     0    -0.54  -1.029142
 0     0     0     0     0     -1    -1    -1   -0.48  -1.022662
 -1    -3    -2    0     -1    -1    -2    -2   -0.41  -1.014683
 -2    -5    -2    -1    -1    -1    -1    0    -0.43  -1.005739
 -2    1     -1    -1    -1    -1    -1    0    -0.35  -0.995700
 -2    1     -1    -1    -1    -1    -1    0    -0.29  -0.984306
 -2    -1    -1    0     -1    1     0     -2   -0.45  -0.971285
 -2    -1    -1    0     -1    1     0     -2   -0.36  -0.956462
 -2    -2    -1    -1    0     1     -1    -1   -0.53  -0.939689
 0     -2    0     -3    0     -2    -2    -1   -0.40  -0.920906
 0     -2    0     -3    0     -2    -2    -1   -0.43  -0.900529
 -1    -1    -1    1     -1    -1    -2    0    -0.55  -0.879307
 1     -1    -1    0     0     -1    -1    -2   -0.46  -0.857914
 6     0     -2    -1    -1    1     0     0    -0.36  -0.836188
 -2    0     -1    0     -1    -1    -1    -1   -0.45  -0.813071
 1     -1    0     0     0     -1    0     0    -0.54  -0.787497
 1     -1    0     0     0     -1    0     0    -0.63  -0.759652
 -1    3     -2    -2    -2    0     -1    -1   -0.51  -0.730366
 -2    -2    0     -1    -1    0     -1    0    -0.32  -0.700514
 -2    -2    0     -1    -1    0     -1    0    -0.31  -0.670720
 -1    -2    -1    -2    -2    -1    -2    -3   -0.36  -0.641585
 -1    -2    -1    -2    -2    -1    -2    -3   -0.37  -0.613775
 -1    1     1     0     0     -2    0     -1   -0.34  -0.588212
 -1    -1    -2    0     0     -1    -1    1    -0.43  -0.565531
 -5    -2    -1    0     -1    0     0     -1   -0.57  -0.545519
 -2    -2    -2    -2    -2    -2    -1    -1   -0.42  -0.526993
 -2    -2    0     -1    -1    -1    -1    0    -0.35  -0.508980
 -1    -1    -2    -2    0     -1    -1    1    -0.38  -0.491413
 -1    -1    -3    -1    -1    -1    0     -2   -0.26  -0.474697
 0     0     0     0     -1    0     -3    0    -0.19  -0.459380
 0     0     0     0     -1    0     -3    0    -0.25  -0.446284
 0     -2    -2    -2    -1    -1    0     -1   -0.42  -0.436528
 0     -2    -2    -3    -1    1     0     -1   -0.41  -0.431049
 2     -2    -2    0     0     0     0     -2   -0.29  -0.430269
 -2    2     0     -3    -1    -2    -1    -1   -0.24  -0.433735
 1     0     -2    -2    -1    -2    0     0    -0.23  -0.440487
 1     0     -2    -2    -1    -2    0     0    -0.19  -0.449792
 -1    -6    -3    0     0     -1    -1    -2   -0.35  -0.461401
 0     -1    0     -1    -1    -1    -1    -1   -0.40  -0.475152
 0     -1    0     -1    -1    -1    -1    -1   -0.43  -0.491127
 -3    -1    -1    0     -1    -1    0     -2   -0.56  -0.509352
 -1    0     0     0     -2    -1    -1    -1   -0.48  -0.529432
 3     -1    -1    1     0     1     -1    0    -0.51  -0.550583
 -3    2     1     -1    -2    -1    -2    -1   -0.29  -0.571736
 -3    2     1     -1    -2    -1    -2    -1   -0.21  -0.591838
 -3    -1    -1    -1    0     0     0     -1   -0.37  -0.609691
 -2    3     0     0     -2    -1    0     -1   -0.11  -0.624576
 -2    -1    -2    -1    -1    -1    -1    0    -0.28  -0.636195
 -2    -1    -2    -1    -1    -1    -1    0    -0.48  -0.644456
 -1    -1    -1    -3    -1    -1    -2    -1   -0.23  -0.649724
 5     2     -1    -1    -1    -3    1     0    -0.13  -0.652070
 -1    0     -1    -1    -1    -1    0     0    -0.25  -0.651105
 -1    0     -1    0     -1    -1    -1    -1   -0.44  -0.646699
 -1    0     -1    0     -1    -1    -1    -1   -0.26  -0.639571
 -2    -3    -1    0     0     1     -2    -2   -0.06  -0.630623
 0     1     -2    0     -1    0     -2    -1   -0.29  -0.620391
 7     -2    -2    -1    -2    0     0     -2   -0.41  -0.609026
 -3    0     -1    0     -2    -2    0     1    -0.30  -0.595701
 -2    -3    1     -1    -1    -1    0     -1   -0.26  -0.579522
 -2    -3    1     -1    -1    -1    0     -1   -0.25  -0.560610
 -2    -1    -1    -3    0     -1    -2    -1   -0.26  -0.539575
 -2    1     -1    -1    0     0     -2    -2   -0.38  -0.516715
 -2    1     -1    -1    0     0     -2    -2   -0.45  -0.492128
 -3    -1    0     1     -1    0     -2    -1   -0.47  -0.465735
 -3    -1    0     1     -1    0     -2    -1   -0.35  -0.437436
 0     1     -1    -2    0     -1    -2    0    -0.32  -0.407335
 0     -2    -2    -2    -2    -1    1     -1   -0.44  -0.376482
 0     -1    1     0     -1    0     -1    -2   -0.42  -0.346785
 0     -1    1     0     -1    0     -1    -2   -0.50  -0.320095
 -2    1     -1    -1    -2    -2    1     -1   -0.37  -0.297929
 -1    -1    -2    0     -1    1     -1    -1   -0.38  -0.280913
 -1    -1    -2    0     -1    1     -1    -1   -0.37  -0.269169
 -2    -3    -2    -2    -1    -1    -2    1    -0.48  -0.262703
 -2    -3    -2    -2    -1    -1    -2    1    -0.50  -0.261051
 3     0     0     1     0     -1    0     0    -0.47  -0.263264
 -1    -2    -1    -1    0     -1    0     -2   -0.35  -0.268132
 -1    -2    -1    -1    0     -1    0     -2   -0.36  -0.274719
 0     0     -1    -2    -1    -2    0     -1   -0.51  -0.282694
 -2    2     -1    -1    -2    -3    -1    -2   -0.41  -0.292300
 -4    -3    -2    -3    -1    -1    -1    -3   -0.46  -0.303494
 -4    -3    -2    -3    -1    -1    -1    -3   -0.42  -0.315306
 -4    0     -1    -2    -1    -2    -2    -1   -0.47  -0.326153
 -4    0     -1    -2    -1    -2    -2    -1   -0.50  -0.334361
 -1    -3    -2    -1    -1    0     -1    -1   -0.57  -0.338938
 1     0     0     0     0     -2    -1    1    -0.69  -0.339968
 1     0     0     0     0     -2    -1    1    -0.39  -0.338287
 8     0     -1    1     -1    -2    -1    0    -0.22  -0.334121
 8     0     -1    1     -1    -2    -1    0    -0.44  -0.325631
 -2    4     -1    -2    -1    -1    -1    1    -0.51  -0.310149
 -4    -4    -2    -2    -1    0     0     1    -0.55  -0.286710
 -1    -2    0     3     1     -1    -2    -2   -0.41  -0.256190
 -1    -2    0     3     1     -1    -2    -2   -0.50  -0.220345
 0     1     -2    -2    -2    -1    -1    -1   -0.49  -0.181579
 0     -2    -1    0     -1    -3    0     -1   -0.31  -0.142672
 0     -2    -1    0     -1    -3    0     -1   -0.53  -0.106205
 -2    -2    -1    -1    -1    -1    -1    -2   -0.32  -0.074186
 -2    -2    -1    -1    -1    -1    -1    -2   -0.46  -0.047407
 -1    -2    -2    1     -1    0     -1    -2   -0.71  -0.025939
 0     -1    0     0     -1    0     0     0    -0.51  -0.009949
 0     -1    0     0     -1    0     0     0    -0.52  -0.000082
 -2    0     -2    -2    -2    -1    -1    -1   -0.38  -0.010381
 -2    -2    -1    -1    -1    0     0     -2   -0.37  -0.000758
 0     0     -2    0     -1    0     0     -1   -0.64  -0.010826
 -11   -6    -2    -2    -1    -2    -1    -2   -0.63  -0.025978
 -1    0     -1    -2    1     -1    0     0    -0.52  -0.043227
 -1    0     -1    -2    1     -1    0     0    -0.55  -0.060006
 4     0     -2    -3    0     0     -1    0    -0.48  -0.075753
 1     0     0     -1    -1    -1    -2    0    -0.43  -0.090283
 -3    -2    -1    1     0     0     0     -1   -0.33  -0.103194
 0     -3    -3    -2    -1    -1    0     -1   -0.45  -0.114352
 -7    -3    -1    -1    -1    -1    -1    1    -0.51  -0.123761
 -6    -1    -2    0     -1    -3    0     -1   -0.67  -0.130162
 -4    -2    -3    1     -1    -3    0     -2   -0.65  -0.131496
 -3    1     0     0     -2    -2    -2    -3   -0.64  -0.126550
 -3    1     0     0     -2    -2    -2    -3   -0.52  -0.115646
 -2    -5    0     0     -1    0     -1    2    -0.56  -0.099882
 -7    -4    1     -1    0     -1    -1    -1   -0.68  -0.080105
 3     -1    1     -2    -1    -1    0     -1   -0.77  -0.055990
 -4    -7    -2    -1    -1    -1    -1    -1   -0.64  -0.026919
 -4    -7    -2    -1    -1    -1    -1    -1   -0.63  -0.024649
 -2    -2    -1    -2    -1    -1    0     -3   -0.65  -0.157778
 -3    -7    -3    -1    -1    -2    -2    0    -0.88  -0.302332
 1     2     -1    -1    -1    -2    -1    -1   -0.95  -0.453355
 1     0     0     -1    -1    0     -4    0    -0.77  -0.604813
 -2    -2    -2    -1    -1    -3    -3    -2   -0.64  -0.750236
 -2    -2    -2    -1    -1    -3    -3    -2   -0.90  -0.884732
 -9    1     2     1     1     1     1     0    -0.94  -1.007790
 0     -5    -1    -1    -1    0     -1    -3   -0.99  -1.123647
 0     -5    -1    -1    -1    0     -1    -3   -1.03  -1.233605
 0     2     -2    0     -2    -2    -1    -1   -1.09  -1.331655
 0     -1    -3    0     -2    -1    -1    -2   -1.15  -1.409253
 3     6     0     0     -1    0     -2    2    -1.14  -1.460438
 -3    -16   -1    -3    0     2     3     -2   -1.11  -1.484106
 -1    -3    -2    -2    -2    -2    -1    -3   -1.14  -1.483274
 -1    -3    -2    -2    -2    -2    -1    -3   -1.07  -1.459817
 -1    -2    -1    1     -1    -1    -1    2    -1.64  -1.413239
 7     12    -1    -1    -1    0     3     1    -1.53  -1.344395
 7     12    -1    -1    -1    0     3     1    -1.53  -1.261334
 -4    2     -2    0     0     -3    -2    -2   -1.65  -1.176956
 -4    2     -2    0     0     -3    -2    -2   -1.97  -1.101345
 6     20    0     -1    -1    -1    0     -2   -1.89  -1.040598
 1     -6    0     0     -1    0     0     0    -1.79  -0.998750
 1     -6    0     0     -1    0     0     0    -1.91  -0.974958
 -2    -15   -2    -1    -2    -3    -2    -2   -1.99  -0.963236
 0     -1    1     1     -1    1     -1    0    -2.07  -0.956679
 -3    -12   -3    -2    -1    -2    1     3    -2.11  -0.949701
 -6    -5    -2    -5    -2    -2    -4    -2   -2.12  -0.939953
 -1    -1    1     -2    -1    0     0     0    -2.21  -0.929671
 -1    -1    1     -2    -1    0     0     0    -2.28  -0.919687
 3     5     -1    -2    -2    -3    1     -1   -2.34  -0.906996
 -4    -26   -2    -2    -4    -2    0     -3   -2.37  -0.889475
 -4    2     -4    -2    0     1     -1    -1   -2.52  -0.867471
 -3    -9    -1    0     -2    -1    -2    -3   -2.54  -0.843021
 -3    -9    -1    0     -2    -1    -2    -3   -2.42  -0.817080
 8     -5    0     0     -1    -1    -1    3    -2.54  -0.792642
 -3    4     0     -1    -2    -2    0     -1   -2.56  -0.774364
 -4    -24   1     0     -1    -1    1     2    -2.58  -0.766503
 -1    -2    -1    0     -2    -1    -1    -3   -2.63  -0.769310
 -4    -11   -2    -1    0     0     -1    -1   -2.63  -0.779815
 8     8     0     -2    -2    1     1     -1   -2.79  -0.798044
 -2    3     -2    -1    0     -4    -6    -4   -2.76  -0.827834
 -6    -16   1     0     0     0     -1    2    -2.74  -0.873568
 -6    -16   1     0     0     0     -1    2    -2.75  -0.937867
 -5    4     0     0     -1    -1    -1    0    -2.83  -1.025163
 -6    -1    -1    0     -2    -1    0     -3   -2.91  -1.138374
 -3    -7    -3    -3    -3    -3    -2    -3   -2.83  -1.276620
 -4    -6    -3    -2    -3    -3    0     -2   -2.82  -1.434597
 6     23    -1    1     2     2     -1    -3   -2.88  -1.605302
 -17   -23   -6    0     -1    -1    -3    -4   -2.91  -1.788773
 14    16    3     -1    -2    -1    2     5    -2.90  -1.998482
 -9    -4    -1    0     1     1     -1    -4   -3.04  -2.252891
 -9    -4    -1    0     1     1     -1    -4   -3.19  -2.561941
 -2    -7    -1    -1    -1    -1    0     -2   -3.37  -2.923741
 8     4     2     2     -1    0     -1    1    -3.54  -3.329065
 3     9     0     -1    1     0     -1    3    -3.77  -3.766315
 -10   -14   -5    -1    -3    -2    -5    -3   -3.78  -4.225730
 2     -6    3     -1    0     -1    2     0    -3.97  -4.699140
 0     11    -1    0     -1    -1    0     0    -4.06  -5.176027
 -3    -2    1     -1    0     -1    -1    -5   -4.22  -5.640434
 -3    -8    -1    0     -1    -1    -6    -2   -4.44  -6.079050
 -3    -8    -1    0     -1    -1    -6    -2   -4.53  -6.482810
 0     -25   -1    -2    -1    -1    4     2    -4.77  -6.844635
 6     9     3     -2    -1    -3    -2    1    -4.79  -7.157484
 -4    11    -2    -4    -3    -3    -1    -6   -5.02  -7.418366
 2     12    2     -1    0     0     3     -2   -5.10  -7.627579
 2     12    2     -1    0     0     3     -2   -5.10  -7.784637
 2     8     1     -1    1     1     4     7    -5.12  -7.887591
 -3    -4    -2    2     1     0     -3    -4   -5.19  -7.936765
 -3    -4    -2    2     1     0     -3    -4   -5.39  -7.933785
 -3    0     0     0     -2    -2    -2    5    -5.63  -7.881333
 -3    -12   -2    0     0     -1    -5    -5   -5.79  -7.782625
 2     8     0     -1    0     0     0     2    -5.94  -7.641611
 -9    -9    -8    -4    -3    -3    -2    -7   -5.80  -7.463914
 2     -3    -1    -2    -1    -1    -1    -4   -5.89  -7.258812
 2     -3    -1    -2    -1    -1    -1    -4   -6.11  -7.033556
 -4    1     -2    -1    -2    -1    4     1    -6.07  -6.789575
 -1    -8    0     0     0     1     -1    -1   -6.04  -6.528221
 -1    15    0     -1    0     0     -1    -2   -6.10  -6.250749
 5     -1    -1    1     0     -2    -1    0    -6.20  -5.958425
 5     -1    -1    1     0     -2    -1    0    -6.12  -5.657372
 3     -3    0     -2    -1    0     0     6    -6.31  -5.356418
 0     -1    2     -1    -3    -2    -1    -3   -6.52  -5.060084
 0     1     -2    0     0     1     3     3    -6.43  -4.765736
 2     10    1     0     2     0     -2    -4   -6.35  -4.467912
 4     11    1     0     -1    -2    1     2    -6.22  -4.163878
 4     11    1     0     -1    -2    1     2    -6.37  -3.857423
 -6    1     1     -2    0     -3    -5    0    -6.32  -3.555091
 4     7     -3    -1    -4    -1    -2    6    -6.45  -3.264891
 4     7     -3    -1    -4    -1    -2    6    -6.18  -2.991430
 1     1     2     2     2     0     1     4    -5.97  -2.734410
 -5    -11   -3    0     0     -1    0     -1   -6.15  -2.490229
 13    15    2     0     -1    0     0     2    -6.30  -2.262142
 -16   -29   -5    -2    -3    -4    0     -10  -6.12  -2.066766
 0     -2    -1    -3    -2    -1    -3    -5   -6.19  -1.923814
 0     -2    -1    -3    -2    -1    -3    -5   -6.24  -1.836332
 -1    10    0     0     1     0     -1    -3   -6.20  -1.790201
 14    12    2     1     1     2     5     8    -6.17  -1.774468
 0     -5    -1    -2    -3    -1    -1    -6   -6.36  -1.789679
 3     -2    -3    -1    -2    -3    3     7    -6.36  -1.835550
 3     -2    -3    -1    -2    -3    3     7    -6.51  -1.903648
 -7    -21   -3    -3    0     1     1     -5   -6.56  -1.986052
 -3    -12   0     1     1     -2    -3    -2   -6.58  -2.081568
 3     11    0     -3    -4    -4    -1    0    -6.91  -2.188866
 -2    2     -5    -3    -1    -1    -3    -5   -7.11  -2.302760
 -2    -13   0     -1    -2    -1    1     2    -6.94  -2.415488
 -3    -9    -3    -2    0     0     -1    -7   -7.21  -2.519709
 5     0     0     0     -1    1     -1    -1   -7.30  -2.613338
 20    17    4     -1    0     0     3     15   -7.45  -2.703316
 20    17    4     -1    0     0     3     15   -7.46  -2.814739
 -3    14    -1    -1    -3    -3    -6    -11  -7.55  -2.977324
 -10   6     2     0     0     -1    -1    -5   -7.81  -3.203238
 -10   6     2     0     0     -1    -1    -5   -8.01  -3.490482
 3     -2    -3    -1    -2    -2    3     8    -8.10  -3.834513
 -6    -30   0     -2    0     0     0     -4   -8.07  -4.227419
 -9    -20   -4    -2    -2    -2    0     0    -8.37  -4.657852
 5     7     0     0     -1    0     -1    -1   -8.60  -5.116745
 -4    -3    -3    -2    1     0     2     2    -8.80  -5.596029
 -4    -3    -3    -2    1     0     2     2    -8.91  -6.083272
 0     7     -2    -2    0     0     -4    -11  -8.98  -6.564679
 12    5     4     1     2     1     7     13   -9.21  -7.028502
 -7    -1    0     -2    -3    -3    -5    -7   -9.21  -7.470843
 11    -11   0     -2    -2    -3    -3    9    -9.25  -7.894968
 11    -11   0     -2    -2    -3    -3    9    -9.50  -8.305259
 -5    19    2     -1    1     1     0     0    -9.71  -8.705752
 -12   8     2     0     -1    -2    -3    2    -9.66  -9.098335
 -12   8     2     0     -1    -2    -3    2    -9.93  -9.486002
 -19   -15   -4    -3    -5    -6    -8    -12  -10.13  -9.878510
 5     -10   -2    -1    0     1     3     -4   -10.24  -10.286852
 21    -3    -4    -1    -4    -5    -4    1    -10.48  -10.717223
 -3    5     -2    0     0     2     -2    -2   -10.63  -11.170864
 -10   -40   -9    -3    -3    -4    0     0    -10.72  -11.645851
 -10   -40   -9    -3    -3    -4    0     0    -10.89  -12.131516
 -9    -27   -6    0     1     2     9     13   -11.01  -12.620375
