fx fy fz tx ty tz 
-0.866691 -0.044883 -1.126117 -0.105973 -0.769800 -0.048752
-0.949980 0.239888 -1.813408 -0.166347 -0.810059 -0.066549
-0.944674 0.903085 -1.514796 -0.271630 -0.811849 -0.072030
-1.062400 -0.440308 0.208795 -0.098042 -0.827313 -0.073066
-1.150400 -0.685207 0.269602 -0.131850 -0.904212 -0.090024
-1.285431 0.595777 -0.533424 -0.412849 -0.970707 -0.103402
-0.930360 -0.105244 0.124130 -0.395981 -0.937013 -0.095259
-1.240653 -0.124858 0.291650 -0.444818 -1.055642 -0.122565
-1.247776 0.036296 0.100628 -0.484668 -1.093816 -0.139096
-1.235017 0.928642 -0.304763 -0.619239 -1.141642 -0.172725
-1.272140 0.985995 -0.091793 -0.628268 -1.204352 -0.205995
-1.444244 0.684428 0.975822 -0.578739 -1.190362 -0.212774
-1.141902 0.894000 -0.029039 -0.657000 -1.240298 -0.264234
-1.375778 0.981482 0.609442 -0.659271 -1.226451 -0.277675
-1.487483 0.812687 0.171313 -0.666886 -1.282672 -0.306713
-1.684508 0.766288 0.493093 -0.667817 -1.314057 -0.322458
-1.381418 0.761011 -0.016020 -0.675610 -1.286909 -0.331736
-1.387826 1.022513 -0.375242 -0.708261 -1.311538 -0.344543
-1.288873 0.712397 0.486796 -0.652147 -1.269289 -0.337926
-1.465999 1.316134 0.539495 -0.725471 -1.321564 -0.353408
-1.377598 1.396997 -0.598579 -0.770108 -1.361049 -0.371317
-1.362024 1.025171 0.293924 -0.709477 -1.321018 -0.359870
-1.477989 1.034887 0.689635 -0.712048 -1.332172 -0.356640
-1.504882 1.130236 -0.116947 -0.757218 -1.359760 -0.362811
-1.445660 0.934058 -0.093035 -0.732255 -1.345040 -0.357203
-1.506995 0.741961 0.631365 -0.683712 -1.302022 -0.340321
-1.505909 0.623191 0.227618 -0.683617 -1.342020 -0.355576
-1.280537 0.333086 0.805223 -0.631012 -1.288730 -0.343081
-1.454239 0.895305 0.393938 -0.730688 -1.343670 -0.350908
-1.168653 0.377140 1.078605 -0.658132 -1.331271 -0.340375
-1.290763 -0.100710 1.505211 -0.594127 -1.351219 -0.324199
-1.166267 -0.036046 1.442046 -0.622937 -1.367376 -0.316854
-1.193941 -0.798833 1.544083 -0.523947 -1.357705 -0.299011
-1.313771 -0.790821 1.376540 -0.503894 -1.386245 -0.301311
-1.356126 -1.167769 1.689767 -0.398151 -1.332719 -0.280874
-1.272267 -1.536879 1.366698 -0.275390 -1.298051 -0.274015
-1.483521 -1.451451 0.972973 -0.230733 -1.305949 -0.268826
-1.492875 -1.182353 -0.129590 -0.212891 -1.289351 -0.261790
-1.503174 -0.720905 -0.434834 -0.205388 -1.258210 -0.248746
-1.386674 -0.593695 -0.895924 -0.142050 -1.221885 -0.233626
-1.379406 -0.859197 -1.227840 -0.040359 -1.230195 -0.220301
-1.654251 -0.235664 -1.454936 -0.061156 -1.264512 -0.219180
-1.308967 0.262779 -1.512822 -0.080659 -1.208000 -0.214406
-1.664111 -0.037162 -1.611617 -0.016111 -1.233443 -0.215752
-1.405392 0.064886 -2.004381 -0.039228 -1.187272 -0.217443
-1.811391 0.616144 -2.376487 -0.111586 -1.185356 -0.209227
-1.584780 0.237905 -2.322405 -0.048703 -1.118340 -0.188266
-1.565017 0.468003 -2.415315 -0.076862 -1.077376 -0.174490
