EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -3    -4    -1    -2    -3    -3    -2    -2   3.04  -9.760329
 0     -3    -2    -1    0     -1    1     1    3.19  -9.744161
 0     0     -2    1     -1    -5    -4    -3   3.04  -9.697377
 0     1     0     -1    -1    0     -3    -2   3.11  -9.591304
 0     1     0     -1    -1    0     -3    -2   3.03  -9.401678
 -1    0     0     0     -2    -1    -2    -2   3.03  -9.106064
 -2    0     -1    -2    -1    0     -3    0    3.07  -8.700749
 -2    0     -1    -2    -1    0     -3    0    2.90  -8.199148
 -1    -1    -2    0     1     2     1     -1   3.06  -7.624915
 1     -1    -1    0     -1    -1    -1    -1   3.01  -7.003223
 1     -1    -1    0     -1    -1    -1    -1   2.86  -6.348835
 2     1     -1    -2    0     -1    -2    0    2.86  -5.670497
 -3    -3    -1    -1    -2    -1    -2    -1   2.87  -4.979895
 0     1     -1    -1    -1    -1    1     0    2.93  -4.288744
 0     1     -1    -1    -1    -1    1     0    2.85  -3.611754
 -1    -2    -1    -2    0     -2    -1    0    2.97  -2.961321
 -1    -2    0     0     0     -2    0     -1   2.88  -2.351237
 -1    0     -2    0     1     -1    3     -1   2.89  -1.788349
 -1    0     -2    0     1     -1    3     -1   2.86  -1.273752
 -1    1     -1    -1    -1    -1    -2    -1   2.91  -0.803243
 -2    -2    0     0     -1    -3    -7    -1   2.94  -0.373287
 -1    0     -3    -2    -2    -3    -2    -2   2.91  0.020435
 -1    0     -3    -2    -2    -3    -2    -2   2.87  0.387045
 -2    -2    1     -1    -1    -1    0     -3   2.95  0.741500
 1     -2    -1    -2    -1    0     0     0    2.95  1.101925
 1     -2    -1    -2    -1    0     0     0    2.89  1.472300
 0     -1    -1    0     1     0     0     -1   2.90  1.846491
 -1    1     1     0     0     -1    0     -1   2.92  2.209704
 0     -1    -2    -4    -2    -2    -7    -2   2.82  2.557752
 0     0     -2    -1    -1    -1    0     -1   2.77  2.898321
 -2    -2    -1    -1    -1    -1    -1    0    2.72  3.235364
 0     -1    -1    0     -2    -1    -1    -1   3.06  3.567589
 -1    -3    0     -1    0     0     1     -1   3.00  3.887114
 0     -1    -2    -2    -2    -1    -2    0    2.82  4.184284
 1     -2    -2    -1    -4    0     0     1    2.76  4.455551
 1     -2    -2    -1    -4    0     0     1    2.81  4.697238
 -4    1     -2    -1    0     -1    0     0    2.85  4.903609
 -4    1     -2    -1    0     -1    0     0    2.78  5.065483
 -3    -3    0     0     -1    -1    -1    -3   2.77  5.172804
 -1    -1    -2    0     -1    0     0     0    2.73  5.221705
 -1    -1    -2    0     -1    0     0     0    2.85  5.212674
