EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 1     1     -1    -2    -1    -1    0     2    -1.21  -0.460184
 0     -1    0     -2    -1    -1    -2    -2   -1.09  -0.459987
 -1    -1    -1    -1    -1    -1    -1    0    -1.03  -0.459615
 -1    -1    -1    -1    -1    -1    -1    0    -1.11  -0.458968
 -4    -1    -3    -1    -2    -2    0     -3   -1.06  -0.457183
 0     -1    -2    -2    -2    0     1     1    -1.08  -0.452834
 -1    -2    -1    -3    -2    -1    -2    0    -1.05  -0.444448
 2     0     -1    1     -2    -2    0     -3   -1.02  -0.431802
 2     0     -1    1     -2    -2    0     -3   -0.92  -0.415413
 -4    -1    -1    0     0     0     -1    -1   -1.14  -0.396394
 -4    -1    -1    0     0     0     -1    -1   -1.02  -0.376201
 1     0     -1    -1    -1    -1    -1    0    -1.09  -0.355870
 1     0     -1    -1    -1    -1    -1    0    -1.03  -0.335736
 -1    -3    -1    0     -1    -1    -1    0    -0.95  -0.315657
 -1    -3    -1    0     -1    -1    -1    0    -1.02  -0.295057
 0     0     -1    0     0     -1    -2    -1   -1.09  -0.273492
 -1    -2    -1    -1    -1    -1    -1    0    -1.24  -0.250687
 3     1     -1    0     -1    0     -1    0    -1.19  -0.226528
 -4    -1    1     -2    0     -3    0     -5   -1.06  -0.201453
 -4    -1    1     -2    0     -3    0     -5   -1.01  -0.176857
 -2    -2    0     -1    0     1     0     0    -1.14  -0.154824
 1     3     -1    1     -2    -2    -2    0    -1.13  -0.137225
 -3    -1    -2    0     -1    -1    -2    -1   -1.11  -0.124466
 0     -1    0     -1    0     -1    -1    -1   -1.07  -0.115426
 0     -1    0     -1    0     -1    -1    -1   -0.95  -0.109406
 0     -1    -1    -2    -1    0     -1    0    -0.94  -0.106537
 0     -1    -1    -2    -1    0     -1    0    -1.00  -0.106154
 -4    -1    -1    -1    0     -1    1     -3   -1.17  -0.107304
 -4    -1    -1    -1    0     -1    1     -3   -1.05  -0.109670
 -1    0     -2    -1    0     -1    -1    -2   -0.98  -0.113522
 -1    0     -2    -1    0     -1    -1    -2   -0.95  -0.118865
 -3    -2    0     -1    -2    -1    -2    0    -0.97  -0.124993
 -3    -2    0     -1    -2    -1    -2    0    -0.90  -0.131726
 -5    -3    -1    -1    -1    -2    -3    0    -0.93  -0.139867
 -3    -1    0     -3    -2    0     -2    -2   -1.00  -0.150260
 -3    -1    0     -3    -2    0     -2    -2   -0.92  -0.163810
 2     -3    0     -1    0     -2    0     0    -0.87  -0.181685
 2     -3    0     -1    0     -2    0     0    -0.78  -0.204592
 0     0     0     1     0     -2    -1    -1   -0.77  -0.232530
 3     1     -1    -1    -1    -1    0     2    -0.95  -0.264848
 3     1     -1    -1    -1    -1    0     2    -1.04  -0.300705
 3     0     -1    -1    0     -2    0     0    -1.10  -0.339073
 3     0     -1    -1    0     -2    0     0    -0.93  -0.379028
 -1    -2    -2    -2    -1    -2    -1    -1   -0.91  -0.419259
 0     -2    0     -1    0     1     -1    -1   -0.82  -0.458046
