EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 -4    7     25    25    17    8     -1    -4    0
 -3    -1    -9    -23   -7    -3    -4    -5   3.309 2.498 26.716 -1.467 -0.165 0.551 0
 7     26    27    7     -2    3     2     4    3.281 2.479 26.835 -1.464 -0.165 0.556 0
 7     26    27    7     -2    3     2     4    3.269 2.466 26.918 -1.461 -0.166 0.560 0
 7     26    27    7     -2    3     2     4    3.266 2.461 26.982 -1.462 -0.168 0.565 0
 7     26    27    7     -2    3     2     4    3.295 2.482 27.084 -1.463 -0.171 0.570 0
 7     26    27    7     -2    3     2     4    3.316 2.493 27.099 -1.464 -0.172 0.570 0
 -5    2     12    24    11    4     0     -1   3.380 2.523 27.153 -1.464 -0.174 0.569 0
 2     -11   -18   -25   -3    -1    -1    0    3.445 2.542 27.167 -1.467 -0.175 0.565 0
 2     -11   -18   -25   -3    -1    -1    0    3.512 2.551 27.157 -1.472 -0.177 0.561 0
 2     -11   -18   -25   -3    -1    -1    0    3.574 2.553 27.145 -1.477 -0.179 0.557 0
 6     15    -8    -27   -5    -9    -4    -1   3.615 2.549 27.104 -1.486 -0.181 0.556 0
 6     15    -8    -27   -5    -9    -4    -1   3.636 2.546 27.073 -1.492 -0.182 0.556 0
 -13   -48   -29   -4    15    9     -1    -3   3.655 2.546 27.029 -1.500 -0.181 0.555 0
 -13   -48   -29   -4    15    9     -1    -3   3.643 2.554 26.989 -1.506 -0.181 0.558 0
 -13   -48   -29   -4    15    9     -1    -3   3.630 2.555 26.952 -1.512 -0.181 0.561 0
 -13   -48   -29   -4    15    9     -1    -3   3.610 2.551 26.927 -1.517 -0.181 0.565 0
 -7    3     0     20    28    0     -6    -8   3.593 2.537 26.914 -1.520 -0.181 0.568 0
 -7    3     0     20    28    0     -6    -8   3.558 2.525 26.923 -1.522 -0.183 0.574 0
 -7    3     0     20    28    0     -6    -8   3.525 2.506 26.947 -1.521 -0.183 0.579 0
 -7    3     0     20    28    0     -6    -8   3.480 2.492 26.992 -1.519 -0.184 0.584 0
 -7    3     0     20    28    0     -6    -8   3.421 2.479 27.050 -1.517 -0.185 0.591 0
 -6    9     1     -15   2     9     -2    -3   3.346 2.472 27.135 -1.512 -0.185 0.600 0
 1     13    -10   -34   -5    -6    -1    -2   3.261 2.466 27.222 -1.508 -0.186 0.610 0
 1     13    -10   -34   -5    -6    -1    -2   3.176 2.464 27.308 -1.504 -0.187 0.621 0
 1     13    -10   -34   -5    -6    -1    -2   3.101 2.460 27.388 -1.501 -0.188 0.630 0
 -8    -26   -4    8     21    5     0     -3   3.042 2.453 27.452 -1.500 -0.189 0.638 0
 -8    -26   -4    8     21    5     0     -3   3.011 2.444 27.487 -1.503 -0.191 0.641 0
 2     5     1     -4    -13   -4    0     -1   3.002 2.440 27.520 -1.505 -0.193 0.642 0
 2     5     1     -4    -13   -4    0     -1   3.019 2.431 27.530 -1.508 -0.194 0.639 0
 2     5     1     -4    -13   -4    0     -1   3.056 2.421 27.524 -1.513 -0.194 0.633 0
 9     6     22    10    -6    -11   -4    4    3.106 2.406 27.507 -1.519 -0.193 0.625 0
 -1    -2    8     23    21    11    5     4    3.166 2.382 27.481 -1.526 -0.193 0.617 0
 -1    -2    8     23    21    11    5     4    3.223 2.346 27.451 -1.534 -0.194 0.609 0
 -1    -2    8     23    21    11    5     4    3.280 2.302 27.427 -1.540 -0.195 0.601 0
 -1    -2    8     23    21    11    5     4    3.342 2.254 27.398 -1.547 -0.195 0.592 0
 -1    -2    8     23    21    11    5     4    3.392 2.211 27.385 -1.551 -0.195 0.584 0
 9     -10   -7    26    41    2     1     9    3.443 2.177 27.383 -1.552 -0.192 0.574 0
 9     -10   -7    26    41    2     1     9    3.486 2.149 27.391 -1.554 -0.190 0.564 0
 9     -10   -7    26    41    2     1     9    3.506 2.123 27.411 -1.555 -0.187 0.557 0
 -2    -5    0     29    22    7     1     2    3.514 2.093 27.432 -1.557 -0.185 0.551 0
 -2    -5    0     29    22    7     1     2    3.486 2.053 27.481 -1.559 -0.183 0.547 0
 -2    -5    0     29    22    7     1     2    3.437 2.038 27.525 -1.560 -0.181 0.548 0
 -2    -5    0     29    22    7     1     2    3.357 2.039 27.570 -1.563 -0.181 0.552 0
 7     16    -38   -86   -59   -13   -1    0    3.253 2.056 27.624 -1.565 -0.180 0.560 0
 7     16    -38   -86   -59   -13   -1    0    3.129 2.089 27.680 -1.567 -0.181 0.571 0
 -3    25    33    17    12    6     -3    -9   2.992 2.135 27.741 -1.568 -0.182 0.583 0
 -3    25    33    17    12    6     -3    -9   2.848 2.187 27.807 -1.569 -0.183 0.596 0
 -3    25    33    17    12    6     -3    -9   2.714 2.235 27.875 -1.570 -0.184 0.608 0
 -3    25    33    17    12    6     -3    -9   2.579 2.280 27.943 -1.572 -0.185 0.620 0
 -3    25    33    17    12    6     -3    -9   2.451 2.321 28.014 -1.573 -0.188 0.633 0
 -3    25    33    17    12    6     -3    -9   2.342 2.354 28.082 -1.574 -0.189 0.643 0
 -2    -22   -2    -10   -37   -13   -1    4    2.245 2.390 28.151 -1.575 -0.190 0.651 0
 -2    -22   -2    -10   -37   -13   -1    4    2.164 2.422 28.216 -1.576 -0.191 0.658 0
 -2    -22   -2    -10   -37   -13   -1    4    2.104 2.455 28.282 -1.575 -0.190 0.661 0
 7     18    32    7     43    25    8     3    2.059 2.481 28.344 -1.575 -0.190 0.662 0
 7     18    32    7     43    25    8     3    2.033 2.491 28.391 -1.578 -0.191 0.662 0
 -1    8     7     -8    -39   -15   -6    -4   2.029 2.487 28.427 -1.582 -0.192 0.660 0
 -1    8     7     -8    -39   -15   -6    -4   2.036 2.474 28.454 -1.588 -0.194 0.656 0
 -1    8     7     -8    -39   -15   -6    -4   2.060 2.457 28.481 -1.593 -0.194 0.649 0
 -1    8     7     -8    -39   -15   -6    -4   2.091 2.442 28.501 -1.598 -0.194 0.641 0
 -13   1     17    47    28    10    -1    -8   2.124 2.426 28.517 -1.603 -0.193 0.633 0
 -13   1     17    47    28    10    -1    -8   2.155 2.411 28.530 -1.610 -0.192 0.625 0
 -13   1     17    47    28    10    -1    -8   2.182 2.396 28.545 -1.616 -0.191 0.618 0
 -13   1     17    47    28    10    -1    -8   2.201 2.377 28.560 -1.622 -0.192 0.612 0
 -13   1     17    47    28    10    -1    -8   2.206 2.360 28.580 -1.629 -0.192 0.610 0
 -13   1     17    47    28    10    -1    -8   2.206 2.342 28.610 -1.634 -0.192 0.607 0
 -2    -10   -3    23    -9    -23   -4    1    2.192 2.330 28.647 -1.638 -0.193 0.607 0
 -2    -10   -3    23    -9    -23   -4    1    2.182 2.317 28.692 -1.640 -0.193 0.606 0
 -2    -10   -3    23    -9    -23   -4    1    2.162 2.308 28.740 -1.642 -0.193 0.607 0
 -2    -10   -3    23    -9    -23   -4    1    2.132 2.307 28.794 -1.643 -0.192 0.609 0
 -2    -10   -3    23    -9    -23   -4    1    2.101 2.313 28.857 -1.641 -0.191 0.611 0
 -7    4     1     -8    -18   -12   -6    -7   2.072 2.322 28.920 -1.639 -0.190 0.613 0
 17    25    21    11    22    17    7     9    2.044 2.329 28.977 -1.639 -0.190 0.615 0
 17    25    21    11    22    17    7     9    2.012 2.333 29.019 -1.641 -0.191 0.617 0
 17    25    21    11    22    17    7     9    1.982 2.326 29.049 -1.645 -0.191 0.619 0
 1     16    1     -39   -16   7     -2    -4   1.959 2.313 29.065 -1.650 -0.191 0.620 0
 1     16    1     -39   -16   7     -2    -4   1.942 2.309 29.088 -1.653 -0.190 0.620 0
 1     16    1     -39   -16   7     -2    -4   1.937 2.305 29.101 -1.658 -0.188 0.618 0
 1     16    1     -39   -16   7     -2    -4   1.940 2.307 29.113 -1.662 -0.187 0.615 0
 1     16    1     -39   -16   7     -2    -4   1.962 2.306 29.124 -1.668 -0.186 0.610 0
 1     16    1     -39   -16   7     -2    -4   1.999 2.303 29.133 -1.674 -0.187 0.604 0
 2     7     -9    -12   3     8     3     0    2.052 2.298 29.154 -1.680 -0.189 0.597 0
 2     7     -9    -12   3     8     3     0    2.111 2.293 29.183 -1.685 -0.191 0.590 0
 2     7     -9    -12   3     8     3     0    2.183 2.291 29.232 -1.686 -0.191 0.580 0
 2     7     -9    -12   3     8     3     0    2.253 2.293 29.294 -1.687 -0.191 0.570 0
 2     7     -9    -12   3     8     3     0    2.315 2.294 29.366 -1.689 -0.191 0.561 0
 -1    -24   -37   -56   -43   -11   -1    0    2.366 2.293 29.447 -1.691 -0.191 0.554 0
 -5    -6    13    38    15    -4    -5    -4   2.403 2.291 29.538 -1.693 -0.192 0.548 0
 -5    -6    13    38    15    -4    -5    -4   2.425 2.286 29.637 -1.694 -0.193 0.546 0
 -5    -6    13    38    15    -4    -5    -4   2.441 2.290 29.745 -1.695 -0.194 0.546 0
 2     7     20    7     16    15    5     -1   2.449 2.303 29.859 -1.694 -0.197 0.547 0
 2     7     20    7     16    15    5     -1   2.460 2.333 29.971 -1.693 -0.199 0.549 0
 2     7     20    7     16    15    5     -1   2.472 2.369 30.079 -1.692 -0.201 0.551 0
