fx fy fz tx ty tz 
-1.443972 0.580077 1.356501 -0.300320 -1.018632 -0.122392
-1.438777 0.575218 1.356729 -0.299615 -1.017181 -0.122466
-1.440567 0.579330 1.342424 -0.300618 -1.018584 -0.123780
-1.436185 0.557763 1.370761 -0.298312 -1.018859 -0.124734
-1.444850 0.572977 1.401656 -0.301002 -1.020054 -0.125985
-1.440445 0.544801 1.449171 -0.297871 -1.018086 -0.125701
-1.437047 0.530680 1.482540 -0.297648 -1.015280 -0.125291
-1.447049 0.525592 1.478870 -0.301061 -1.018678 -0.126545
-1.444356 0.579945 1.479863 -0.312106 -1.018265 -0.127198
-1.446709 0.573920 1.473244 -0.316768 -1.019522 -0.128222
-1.435473 0.525908 1.590056 -0.317427 -1.012744 -0.127788
-1.435769 0.518652 1.604160 -0.318761 -1.013262 -0.128337
-1.443376 0.537098 1.605597 -0.324003 -1.015000 -0.129227
-1.451087 0.545602 1.596920 -0.330293 -1.017627 -0.130913
-1.445973 0.550764 1.602969 -0.336347 -1.019498 -0.132032
-1.443080 0.571598 1.619847 -0.343191 -1.019421 -0.132679
-1.447619 0.561215 1.668108 -0.345862 -1.020799 -0.133425
-1.437349 0.548406 1.707052 -0.349252 -1.019576 -0.133691
-1.442910 0.571974 1.716422 -0.357818 -1.023953 -0.134960
-1.439357 0.627943 1.703090 -0.370566 -1.026417 -0.136278
-1.429900 0.621578 1.694422 -0.374093 -1.027335 -0.136328
-1.426750 0.599752 1.741670 -0.375753 -1.029670 -0.136438
-1.446286 0.583226 1.767910 -0.376117 -1.034727 -0.137304
-1.437770 0.611421 1.754253 -0.381625 -1.034636 -0.137887
-1.434365 0.599892 1.760111 -0.381796 -1.034144 -0.138048
-1.430837 0.610083 1.750692 -0.384737 -1.033643 -0.139179
-1.444366 0.595106 1.754386 -0.383673 -1.035690 -0.140573
-1.456307 0.593955 1.759051 -0.383811 -1.037242 -0.141588
-1.447882 0.627334 1.730775 -0.387975 -1.033160 -0.140583
-1.435113 0.641479 1.711667 -0.389777 -1.029893 -0.139435
-1.441574 0.647820 1.700025 -0.390427 -1.030451 -0.139114
-1.435212 0.655958 1.695985 -0.390604 -1.028599 -0.137777
-1.432011 0.662929 1.674662 -0.390320 -1.027333 -0.136950
-1.439062 0.671819 1.659139 -0.390292 -1.028822 -0.136681
-1.423814 0.672880 1.629849 -0.388648 -1.023629 -0.134943
-1.427503 0.667395 1.636289 -0.386412 -1.023809 -0.134436
-1.432928 0.666802 1.624084 -0.384723 -1.024115 -0.134407
-1.418888 0.658737 1.631442 -0.381416 -1.020112 -0.133315
-1.426244 0.646706 1.616742 -0.378328 -1.021602 -0.133671
-1.435358 0.638977 1.619697 -0.375116 -1.024034 -0.134094
-1.431497 0.637615 1.607174 -0.373180 -1.022159 -0.133698
-1.429340 0.610242 1.623072 -0.367474 -1.020534 -0.133112
-1.428942 0.607899 1.625659 -0.365238 -1.018983 -0.132609
-1.435594 0.594257 1.632407 -0.361981 -1.020259 -0.132742
-1.433260 0.584211 1.638133 -0.359138 -1.018410 -0.132294
-1.437055 0.572040 1.653883 -0.356965 -1.018557 -0.132338
-1.435398 0.554203 1.667041 -0.354335 -1.017467 -0.132076
-1.440207 0.526486 1.693852 -0.350678 -1.018533 -0.132516
-1.437317 0.532552 1.696416 -0.352730 -1.017416 -0.132547
-1.441517 0.527695 1.693421 -0.355363 -1.018722 -0.133424
-1.436228 0.531472 1.713393 -0.358386 -1.016325 -0.133508
-1.452967 0.515440 1.746409 -0.358327 -1.018972 -0.134486
-1.448693 0.525195 1.759988 -0.362440 -1.018330 -0.134995
-1.444736 0.520033 1.770638 -0.364831 -1.018486 -0.136235
