EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 -2    1     -1    -1    0     0     0     -1    0
 1     1     -1    1     0     -1    1     1    -4.660 -1.492 -14.968 0.808 -0.014 0.411 0
 1     1     -1    1     0     -1    1     1    -4.658 -1.475 -14.952 0.810 -0.015 0.413 0
 1     1     -1    1     0     -1    1     1    -4.660 -1.473 -14.951 0.810 -0.015 0.414 0
 -2    -1    -1    -1    0     -1    -2    0    -4.669 -1.459 -14.943 0.811 -0.015 0.416 0
 -2    -1    -1    -1    0     -1    -2    0    -4.677 -1.447 -14.937 0.812 -0.015 0.417 0
 -2    -1    -1    -1    0     -1    -2    0    -4.691 -1.444 -14.931 0.812 -0.016 0.420 0
 -2    -1    -1    -1    0     -1    -2    0    -4.700 -1.442 -14.921 0.813 -0.016 0.422 0
 -2    -1    -1    -1    0     -1    -2    0    -4.701 -1.440 -14.906 0.814 -0.016 0.422 0
 -1    -2    -2    -2    0     0     -2    -2   -4.703 -1.434 -14.887 0.816 -0.016 0.422 0
 -1    -2    -2    -2    0     0     -2    -2   -4.712 -1.442 -14.874 0.817 -0.016 0.424 0
 -8    -2    -1    0     -1    -1    -3    -3   -4.716 -1.457 -14.864 0.817 -0.016 0.425 0
 -8    -2    -1    0     -1    -1    -3    -3   -4.724 -1.476 -14.854 0.817 -0.016 0.427 0
 -1    -3    0     -2    -1    -1    -2    -1   -4.721 -1.493 -14.856 0.816 -0.016 0.426 0
 -1    -3    0     -2    -1    -1    -2    -1   -4.725 -1.504 -14.853 0.815 -0.017 0.428 0
 -1    -3    0     -2    -1    -1    -2    -1   -4.726 -1.522 -14.864 0.813 -0.017 0.429 0
 -2    -2    -2    -1    -1    0     -1    -2   -4.720 -1.546 -14.876 0.811 -0.018 0.430 0
 -2    -2    -2    -1    -1    0     -1    -2   -4.706 -1.570 -14.889 0.808 -0.018 0.428 0
 -2    -2    -2    -1    -1    0     -1    -2   -4.693 -1.598 -14.902 0.806 -0.017 0.427 0
 -2    -2    -2    -1    -1    0     -1    -2   -4.677 -1.620 -14.913 0.804 -0.018 0.426 0
 -2    -2    -2    -1    -1    0     -1    -2   -4.670 -1.639 -14.928 0.802 -0.018 0.427 0
 -1    1     0     0     1     -1    1     -2   -4.672 -1.652 -14.940 0.800 -0.019 0.428 0
 -1    1     0     0     1     -1    1     -2   -4.674 -1.660 -14.947 0.799 -0.019 0.429 0
 -7    -3    -1    -2    -1    -1    -3    0    -4.680 -1.660 -14.954 0.798 -0.018 0.428 0
 -7    -3    -1    -2    -1    -1    -3    0    -4.691 -1.667 -14.961 0.797 -0.017 0.428 0
 -2    3     0     -1    -2    -1    0     0    -4.713 -1.676 -14.970 0.795 -0.017 0.430 0
 -2    3     0     -1    -2    -1    0     0    -4.735 -1.675 -14.968 0.796 -0.017 0.431 0
 -2    3     0     -1    -2    -1    0     0    -4.760 -1.665 -14.962 0.797 -0.016 0.431 0
 -2    3     0     -1    -2    -1    0     0    -4.795 -1.663 -14.954 0.798 -0.015 0.433 0
 0     -1    -1    -1    -2    -2    0     0    -4.828 -1.667 -14.946 0.799 -0.013 0.436 0
 -2    -2    -1    1     -1    -1    -2    1    -4.867 -1.664 -14.934 0.800 -0.012 0.439 0
 -2    -2    -1    1     -1    -1    -2    1    -4.901 -1.657 -14.927 0.801 -0.011 0.441 0
 -2    -2    -1    1     -1    -1    -2    1    -4.928 -1.643 -14.920 0.802 -0.010 0.443 0
 1     0     0     -1    -1    -2    -1    0    -4.946 -1.629 -14.914 0.804 -0.009 0.444 0
 1     0     0     -1    -1    -2    -1    0    -4.961 -1.618 -14.909 0.804 -0.009 0.444 0
 1     0     0     -1    -1    -2    -1    0    -4.978 -1.613 -14.901 0.806 -0.008 0.445 0
 0     2     0     -1    -1    0     0     -1   -4.984 -1.606 -14.900 0.806 -0.008 0.444 0
 0     2     0     -1    -1    0     0     -1   -4.996 -1.585 -14.889 0.808 -0.006 0.442 0
 -2    -2    -2    -1    -1    -2    -1    -2   -4.996 -1.580 -14.883 0.809 -0.005 0.441 0
 -2    -2    -2    -1    -1    -2    -1    -2   -4.995 -1.566 -14.877 0.810 -0.005 0.439 0
 -2    -2    -2    -1    -1    -2    -1    -2   -5.000 -1.565 -14.874 0.810 -0.004 0.438 0
 -1    -1    -1    -1    -1    0     -1    -1   -4.995 -1.561 -14.877 0.810 -0.004 0.437 0
 -1    -1    -1    -1    -1    0     -1    -1   -4.988 -1.547 -14.884 0.810 -0.003 0.435 0
 -1    -1    -1    -1    -1    0     -1    -1   -4.991 -1.530 -14.894 0.809 -0.003 0.434 0
 -1    -1    -1    -1    -1    0     -1    -1   -4.981 -1.523 -14.911 0.807 -0.002 0.432 0
 -1    -1    -1    -1    -1    0     -1    -1   -4.970 -1.527 -14.931 0.805 -0.002 0.430 0
 -1    -1    -1    -1    -1    -2    -1    -1   -4.973 -1.528 -14.944 0.803 -0.003 0.431 0
 -1    -1    -1    -1    -1    -2    -1    -1   -4.972 -1.518 -14.951 0.803 -0.002 0.430 0
 -3    0     -2    -2    -1    -1    0     1    -4.981 -1.509 -14.943 0.804 -0.002 0.432 0
 -3    0     -2    -2    -1    -1    0     1    -4.989 -1.501 -14.937 0.806 -0.003 0.433 0
 3     -1    -2    -1    -2    -3    0     -1   -4.996 -1.500 -14.938 0.806 -0.003 0.433 0
 3     -1    -2    -1    -2    -3    0     -1   -5.003 -1.499 -14.936 0.806 -0.003 0.434 0
 3     -1    -2    -1    -2    -3    0     -1   -5.010 -1.494 -14.941 0.806 -0.002 0.435 0
 -2    -3    -2    -1    0     0     -2    -1   -5.018 -1.481 -14.940 0.807 -0.002 0.436 0
 -2    -3    -2    -1    0     0     -2    -1   -5.015 -1.477 -14.949 0.806 -0.002 0.436 0
