fx fy fz tx ty tz 
-1.885948 0.343307 0.719199 -0.076818 -0.685567 -0.154568
-1.877938 0.328526 0.672410 -0.075342 -0.683633 -0.154126
-1.871772 0.442644 0.625896 -0.090573 -0.682887 -0.154101
-1.893607 0.275245 0.890822 -0.066013 -0.689577 -0.156633
-1.891195 0.142736 1.015564 -0.049378 -0.688417 -0.156706
-1.871409 0.189377 0.944046 -0.062027 -0.685116 -0.155306
-1.888536 0.271590 0.861177 -0.079451 -0.688912 -0.156310
-1.917139 0.211677 0.921784 -0.077941 -0.693818 -0.157342
-1.898655 0.088074 1.030513 -0.064278 -0.693050 -0.157841
-1.889656 0.095176 1.115758 -0.068201 -0.690037 -0.158303
-1.901589 0.118381 1.144436 -0.080156 -0.689715 -0.158619
-1.900263 0.147471 1.106629 -0.094262 -0.685745 -0.157662
-1.894780 0.127758 1.205789 -0.100003 -0.680669 -0.156896
-1.890264 0.118518 1.247345 -0.107027 -0.676122 -0.156523
-1.897740 0.145279 1.240700 -0.118390 -0.672682 -0.157212
-1.898814 0.099331 1.328293 -0.120276 -0.666449 -0.156692
-1.887891 0.010421 1.418903 -0.115871 -0.657529 -0.153338
-1.872303 -0.028507 1.485727 -0.114655 -0.648326 -0.149041
-1.879817 0.051246 1.451491 -0.134005 -0.644253 -0.144284
-1.861040 0.069974 1.460634 -0.143641 -0.636057 -0.139576
-1.838485 0.127920 1.471709 -0.159243 -0.625552 -0.135686
-1.830158 0.173991 1.471170 -0.173516 -0.620641 -0.133905
-1.828186 0.235693 1.481943 -0.191246 -0.610680 -0.132055
-1.818232 0.217633 1.454702 -0.192735 -0.605323 -0.130998
-1.795920 0.161654 1.564739 -0.186721 -0.597946 -0.130454
-1.827799 0.147086 1.645760 -0.182192 -0.599005 -0.130750
-1.745703 0.033911 1.647193 -0.168836 -0.575478 -0.125217
-1.703282 0.034664 1.707684 -0.169496 -0.560395 -0.121650
-1.701317 -0.033399 1.695045 -0.164145 -0.557332 -0.120139
-1.700650 0.011781 1.662290 -0.174885 -0.551658 -0.117878
-1.702999 0.020875 1.721129 -0.182872 -0.551267 -0.116991
-1.711265 0.098027 1.618582 -0.199286 -0.549894 -0.115515
-1.694664 0.152988 1.666680 -0.206137 -0.545502 -0.114899
-1.686896 0.152223 1.714503 -0.206224 -0.542569 -0.114457
-1.681030 0.098773 1.796134 -0.196210 -0.539182 -0.114369
-1.668660 0.130903 1.756304 -0.197118 -0.531161 -0.112592
-1.657758 0.109326 1.707045 -0.190929 -0.523757 -0.110708
-1.662393 0.021503 1.691564 -0.178903 -0.520393 -0.110046
-1.632045 0.012352 1.739010 -0.181754 -0.510483 -0.108536
-1.645172 0.023966 1.713474 -0.189259 -0.514225 -0.109825
-1.672878 0.049154 1.752606 -0.199408 -0.516167 -0.111114
-1.691301 0.037606 1.745458 -0.202638 -0.520688 -0.112279
-1.687605 0.098101 1.735332 -0.213004 -0.517351 -0.111768
-1.680889 0.136001 1.722722 -0.220596 -0.516335 -0.111497
-1.672597 0.107623 1.762343 -0.211757 -0.514851 -0.112508
-1.659338 0.072013 1.835702 -0.200309 -0.511256 -0.113893
-1.662480 0.037454 1.769683 -0.187292 -0.510120 -0.114399
-1.658267 0.053487 1.694067 -0.182315 -0.508662 -0.115677
-1.671109 -0.073903 1.787277 -0.158480 -0.513052 -0.117843
-1.665519 -0.061176 1.734566 -0.159758 -0.510774 -0.117414
-1.661956 -0.076146 1.726579 -0.162205 -0.509827 -0.116971
-1.671941 -0.113144 1.742990 -0.163712 -0.510996 -0.116784
-1.683972 -0.140479 1.754639 -0.165586 -0.514110 -0.117224
-1.695663 -0.131116 1.765837 -0.171791 -0.516250 -0.117272
-1.696468 -0.100933 1.712760 -0.179869 -0.516597 -0.116531
-1.711902 -0.128669 1.766221 -0.177504 -0.519830 -0.117462
-1.703501 -0.108421 1.740096 -0.181730 -0.518112 -0.116329
-1.699161 -0.124068 1.738157 -0.179872 -0.517952 -0.115866
-1.687871 -0.117872 1.730107 -0.180018 -0.513722 -0.114971
-1.676155 -0.156168 1.729925 -0.172596 -0.511236 -0.114093
-1.670121 -0.147296 1.692185 -0.171531 -0.507909 -0.113375
-1.657974 -0.126191 1.658756 -0.172017 -0.505773 -0.112718
-1.663956 -0.110939 1.632099 -0.172142 -0.505060 -0.112692
-1.670275 -0.083489 1.636114 -0.173724 -0.506607 -0.113369
-1.667470 -0.049314 1.619581 -0.176183 -0.505892 -0.113157
-1.676813 -0.008652 1.548568 -0.179777 -0.506663 -0.112745
-1.687647 0.010029 1.502182 -0.180175 -0.509370 -0.112922
-1.684132 0.087601 1.448118 -0.188477 -0.507349 -0.111980
-1.693002 0.066768 1.440153 -0.183793 -0.510467 -0.112380
-1.680520 0.095448 1.415936 -0.183788 -0.508057 -0.111935
-1.675795 0.077417 1.407746 -0.176439 -0.507936 -0.112106
-1.672100 0.058101 1.386766 -0.167497 -0.506582 -0.112093
-1.665826 0.038821 1.357992 -0.158660 -0.505919 -0.111953
-1.669556 0.028338 1.331850 -0.150631 -0.505912 -0.112245
-1.669729 0.018612 1.318874 -0.142958 -0.506868 -0.113116
-1.675977 0.023932 1.292063 -0.137192 -0.508183 -0.114262
-1.683964 0.038415 1.256915 -0.134170 -0.509692 -0.115447
-1.694194 0.025504 1.225976 -0.127355 -0.511873 -0.115987
