fx fy fz tx ty tz 
-1.798520 0.462913 0.909416 -0.092196 -0.655751 -0.137338
-1.806790 0.452235 0.959668 -0.087511 -0.657473 -0.137517
-1.809377 0.275885 0.766375 -0.049333 -0.659998 -0.137723
-1.801172 0.505885 0.617202 -0.060639 -0.659505 -0.138323
-1.869720 0.489522 0.363520 -0.043269 -0.671584 -0.140231
-1.839692 0.389130 0.487813 -0.012298 -0.670965 -0.144474
-1.826544 0.419069 0.339134 -0.000478 -0.675562 -0.150088
-1.879622 0.469607 0.249407 0.024340 -0.687235 -0.156861
-1.857431 0.285446 0.154824 0.106533 -0.691080 -0.163940
-1.894303 0.200083 0.078928 0.135099 -0.698787 -0.165870
-1.942342 0.253766 -0.205526 0.145239 -0.711374 -0.169718
-1.890419 0.211750 -0.226226 0.161908 -0.707450 -0.171203
-1.871437 0.129193 -0.198929 0.180745 -0.709037 -0.173498
-1.904598 0.149109 -0.128895 0.187562 -0.715339 -0.174726
-1.913548 0.282686 -0.233942 0.184913 -0.718446 -0.173279
-1.903016 0.301513 -0.192301 0.195336 -0.725492 -0.172806
-1.873058 0.363166 -0.298788 0.187032 -0.729815 -0.169393
-1.831531 0.431164 -0.242465 0.179933 -0.736142 -0.166779
-1.847941 0.388155 -0.297974 0.182486 -0.749475 -0.162421
-1.840624 0.423271 -0.224057 0.169198 -0.756550 -0.155543
-1.840928 0.324023 0.029629 0.157639 -0.769642 -0.148495
-1.825585 0.311415 0.126456 0.128133 -0.775796 -0.138878
-1.819221 0.282531 0.093498 0.104460 -0.786702 -0.133407
-1.844229 0.412952 0.136508 0.065712 -0.791444 -0.127899
-1.850005 0.460353 0.378542 0.043409 -0.789213 -0.123699
-1.882364 0.447903 0.512813 0.029787 -0.794770 -0.122539
-1.803991 0.594102 0.563840 -0.016691 -0.776546 -0.117085
-1.773451 0.715118 0.470654 -0.058797 -0.765356 -0.111693
-1.762258 0.705997 0.619497 -0.085217 -0.759354 -0.107101
