EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -2    0     0     -2    0     -2    -1    -1   0.76  6.611870
 -1    -1    1     0     0     -1    -2    1    0.95  6.606051
 0     -2    1     -1    -1    -1    -1    -2   1.06  6.592627
 -1    -1    -2    -2    -2    0     -3    -1   0.97  6.564320
 -1    -1    -2    -2    -2    0     -3    -1   1.03  6.514583
 0     1     -1    -1    -2    -1    2     1    1.02  6.433922
 0     -3    -2    0     1     -1    0     -1   1.01  6.316243
 -2    1     -1    -1    -2    -1    1     -1   0.92  6.163153
 -2    -2    0     -1    -2    -1    -1    0    0.84  5.982050
 -1    -2    -1    -1    0     -2    -1    -1   0.93  5.782125
 -2    -1    -1    -2    -1    0     0     1    0.80  5.569066
 0     0     0     0     -1    -1    -1    -2   0.82  5.347662
 -1    -1    -1    -1    1     -2    -1    -1   0.76  5.123800
 -1    -1    -1    -1    1     -2    -1    -1   0.80  4.902279
 -3    0     -2    -2    -1    -1    0     -1   0.72  4.689343
 1     0     0     -1    0     0     0     -1   0.61  4.487164
 -1    -1    -2    -1    -2    -3    -2    -1   0.81  4.297304
 0     -1    -1    0     -1    -1    0     -1   0.75  4.120920
 -1    -2    -2    -1    -1    -1    -1    -1   0.63  3.961333
 0     1     -1    0     -1    0     1     0    0.77  3.821467
 0     -1    -1    -2    -1    0     -1    1    0.68  3.703063
 -1    0     -1    -1    -2    -2    -3    -1   0.67  3.604436
 -1    0     -1    -1    -2    -2    -3    -1   0.71  3.524604
 0     -2    -1    -1    -1    -1    -1    -1   0.64  3.461797
 -2    0     -1    -1    0     -1    -2    -1   0.62  3.415535
 -2    0     -1    -1    0     -1    -2    -1   0.57  3.383808
 -1    -2    0     0     -2    -1    0     0    0.53  3.363837
 -1    1     -1    -2    -2    -1    0     0    0.59  3.353595
 -2    -1    0     -1    -1    -2    -1    0    0.57  3.351495
 1     -1    -1    -1    -1    0     0     0    0.49  3.356835
 0     -1    -2    -2    0     -4    -1    -2   0.54  3.366952
 0     -1    -2    -2    0     -4    -1    -2   0.53  3.378347
 -2    -2    -1    -3    -3    -1    -1    0    0.55  3.387374
 -1    -1    1     -1    -1    -1    0     -1   0.55  3.391558
 -1    -1    -2    0     0     -1    0     0    0.52  3.390819
 0     0     0     0     -1    0     -1    -1   0.57  3.386893
 -1    0     -2    0     -1    0     -1    -1   0.52  3.381322
 -1    0     -2    0     -1    0     -1    -1   0.44  3.375362
 -2    -2    -2    -1    -1    1     -2    -4   0.47  3.370065
 -1    -2    -1    1     1     -1    0     -1   0.51  3.365495
 -1    -2    -1    1     1     -1    0     -1   0.42  3.361206
 -2    -1    -1    0     -1    -2    0     -1   0.42  3.356678
 -1    -1    -2    -3    0     -1    -2    0    0.44  3.351351
 -1    -4    -1    -1    -2    -1    -1    -1   0.43  3.344118
 1     -5    -3    -1    -1    0     -1    -1   0.50  3.334738
 3     1     1     -2    -2    0     0     0    0.49  3.322822
 3     1     1     -2    -2    0     0     0    0.28  3.309851
 1     2     -1    -1    0     -2    -2    0    0.24  3.296124
 -5    -13   -2    0     1     -2    -2    -4   0.35  3.281410
 7     24    4     0     0     1     1     2    0.31  3.264860
 -12   -17   -3    -2    1     -1    -3    -4   0.31  3.243674
 -12   -17   -3    -2    1     -1    -3    -4   0.20  3.213225
 -5    -5    -1    0     -2    -3    -3    -4   0.02  3.165571
 1     5     0     -2    -2    0     -1    2    -0.00  3.092449
 -2    -4    -2    -1    0     -1    -1    -1   -0.18  2.987555
 -2    -4    -2    -1    0     -1    -1    -1   -0.22  2.847711
 -2    -5    -1    0     -2    -1    1     -3   -0.07  2.671859
 0     1     0     1     -1    -1    -3    1    -0.11  2.462985
 -1    -29   0     -1    -1    0     0     2    -0.20  2.228994
 2     13    -1    -1    -2    -2    -1    -1   -0.10  1.981433
 2     13    -1    -1    -2    -2    -1    -1   -0.20  1.730908
 -2    0     -2    -2    0     -2    -1    -1   -0.23  1.486437
 0     0     0     -1    -1    -1    -1    -2   -0.26  1.255101
 0     -2    0     -2    -1    0     0     -1   -0.13  1.043223
 -10   6     -1    1     -2    -1    -1    0    -0.14  0.853555
 5     25    1     -2    -3    -4    0     2    -0.21  0.683242
 -3    6     -2    -2    -2    -1    -1    -3   -0.33  0.526064
 -3    -11   -1    -1    -1    1     -2    -2   -0.43  0.380349
 2     -1    -2    -1    -1    -2    -2    -4   -0.47  0.247341
 2     -1    -2    -1    -1    -2    -2    -4   -0.50  0.128515
 0     -3    -2    -2    -1    2     -1    0    -0.62  0.026308
 -1    -3    -2    0     -1    -1    1     -2   -0.32  -0.055552
 -1    -3    -2    0     -1    -1    1     -2   -0.52  -0.112631
 0     -1    -1    -2    1     -1    -1    -1   -0.59  -0.141492
 1     -19   -5    -3    -4    -5    -4    -1   -0.57  -0.138851
 1     16    2     -1    -2    0     1     1    -0.59  -0.101586
 -4    2     0     -1    0     -1    1     -2   -0.81  -0.029352
 -2    2     -1    1     1     0     -1    -2   -1.05  0.074880
 -2    2     -1    1     1     0     -1    -2   -1.02  0.204807
 -2    -4    0     -2    -1    0     -1    -2   -1.22  0.354026
 -2    5     0     -1    -1    -2    -1    -2   -1.39  0.517742
