fx fy fz tx ty tz 
-1.782188 0.122810 0.553535 0.037145 -0.834930 -0.116071
-1.794652 0.101150 0.509934 0.039288 -0.838086 -0.116471
-1.777033 0.248692 0.480335 0.017433 -0.831567 -0.115783
-1.760344 0.243939 0.593875 0.012338 -0.809267 -0.119349
-1.776964 0.117266 0.854801 0.022362 -0.777432 -0.124198
-1.786409 0.009696 0.997542 0.029010 -0.747709 -0.126889
-1.784736 0.127157 0.799112 -0.000522 -0.715937 -0.127483
-1.775569 0.215575 0.799494 -0.023634 -0.689895 -0.129644
-1.788221 0.019845 1.008662 -0.010030 -0.668191 -0.130581
-1.736682 -0.009077 1.070746 -0.019666 -0.635792 -0.127428
-1.686285 0.115623 1.112553 -0.046584 -0.617500 -0.126706
-1.713481 0.180840 1.112447 -0.071374 -0.604505 -0.124258
-1.680522 0.073684 1.300227 -0.065769 -0.594273 -0.125664
-1.675678 0.141017 1.469589 -0.083614 -0.588883 -0.130823
-1.683431 0.237978 1.444729 -0.112727 -0.594255 -0.135755
-1.688255 0.257883 1.479900 -0.125314 -0.598556 -0.139088
-1.694273 0.312548 1.538463 -0.145990 -0.602838 -0.140700
-1.712055 0.277842 1.540013 -0.158996 -0.607599 -0.138105
-1.716458 0.342384 1.489005 -0.177942 -0.607968 -0.132878
-1.707945 0.317433 1.645821 -0.183327 -0.603427 -0.128616
-1.682722 0.275699 1.777567 -0.189384 -0.596885 -0.124398
-1.640276 0.246033 1.952694 -0.192668 -0.584527 -0.121017
-1.627503 0.306779 1.832425 -0.213884 -0.574167 -0.117234
-1.652418 0.342255 1.904756 -0.227057 -0.574808 -0.117762
-1.652784 0.292850 2.084576 -0.230410 -0.561258 -0.116944
-1.654971 0.307499 2.046965 -0.236938 -0.560049 -0.117246
-1.647715 0.418699 1.933557 -0.262137 -0.554360 -0.117259
-1.640541 0.457514 1.941386 -0.276087 -0.543532 -0.116638
-1.643221 0.364651 2.064791 -0.266554 -0.542042 -0.117243
-1.639159 0.283458 2.175105 -0.259746 -0.532399 -0.115830
-1.626745 0.315761 2.151789 -0.264040 -0.524676 -0.115086
-1.638189 0.326644 2.042329 -0.267552 -0.518858 -0.114737
-1.641077 0.295603 2.122302 -0.259285 -0.514902 -0.116813
-1.619858 0.235131 2.194479 -0.249187 -0.508399 -0.118165
-1.614139 0.217123 2.218452 -0.245467 -0.507794 -0.119688
-1.619668 0.261840 2.175885 -0.252452 -0.508639 -0.119727
-1.654750 0.292535 2.143026 -0.260572 -0.512616 -0.119171
-1.671457 0.233283 2.137260 -0.254606 -0.515760 -0.118799
-1.649525 0.189711 2.147398 -0.249431 -0.513149 -0.118684
-1.646272 0.087711 2.185870 -0.235881 -0.513391 -0.119795
-1.639713 0.013774 2.209273 -0.225320 -0.512028 -0.120567
-1.641470 -0.068524 2.236492 -0.215063 -0.510633 -0.121565
-1.639159 -0.096209 2.209972 -0.211819 -0.506904 -0.121525
-1.656496 -0.124645 2.200443 -0.208175 -0.506596 -0.121740
-1.676440 -0.129091 2.165607 -0.207251 -0.505679 -0.121660
-1.672688 -0.115766 2.181900 -0.208064 -0.502263 -0.121540
-1.667011 -0.128257 2.203154 -0.206811 -0.500297 -0.122339
-1.653395 -0.075932 2.137078 -0.216257 -0.495318 -0.121357
-1.654976 -0.049254 2.118256 -0.220692 -0.495324 -0.121246
-1.661821 -0.064067 2.115400 -0.218577 -0.494319 -0.120806
-1.660950 -0.137605 2.164034 -0.207155 -0.494126 -0.121281
-1.649615 -0.153941 2.133300 -0.203240 -0.493107 -0.121804
-1.636992 -0.182246 2.107591 -0.196434 -0.490437 -0.121620
-1.630782 -0.211675 2.092427 -0.188756 -0.490640 -0.122361
-1.624746 -0.206984 2.096418 -0.185120 -0.490185 -0.122748
-1.646778 -0.253692 2.105530 -0.173485 -0.494488 -0.123472
-1.669856 -0.219245 2.050137 -0.172527 -0.496683 -0.123206
-1.683471 -0.209203 1.999380 -0.167206 -0.498692 -0.123146
-1.687956 -0.181662 1.960344 -0.163234 -0.500793 -0.123952
-1.682158 -0.205994 1.939480 -0.151398 -0.501387 -0.124474
-1.669690 -0.192736 1.913596 -0.145013 -0.497920 -0.124164
-1.672560 -0.195659 1.890623 -0.136694 -0.499520 -0.124457
-1.665697 -0.201703 1.849421 -0.128776 -0.496625 -0.123846
-1.661815 -0.213897 1.822284 -0.120800 -0.495735 -0.123849
-1.659596 -0.222847 1.817079 -0.113699 -0.495035 -0.123963
-1.650398 -0.201216 1.768143 -0.112706 -0.493083 -0.123849
-1.647704 -0.194114 1.751351 -0.109631 -0.494324 -0.124450
