fx fy fz tx ty tz 
-2.033624 0.418067 -0.342693 -0.368646 -0.684336 -0.143292
-2.047229 0.335675 -0.076965 -0.349746 -0.689346 -0.145357
-2.097895 -0.232406 -0.042829 -0.202029 -0.691745 -0.146783
-1.938527 0.281714 -1.322582 -0.231387 -0.653351 -0.137555
-2.024236 0.917709 -2.082251 -0.274135 -0.679901 -0.144267
-2.289828 0.500209 -1.685211 -0.168120 -0.715345 -0.152776
-1.968921 0.230542 -1.324347 -0.074917 -0.646638 -0.149397
-2.042365 0.606341 -1.723668 -0.093223 -0.658812 -0.152499
-2.224530 1.375492 -2.940189 -0.174829 -0.708983 -0.160938
-2.239207 0.650616 -1.901186 -0.024019 -0.727756 -0.169071
-2.087220 -0.237775 -1.816978 0.108454 -0.716328 -0.167834
-2.019568 0.930495 -2.570474 -0.031758 -0.732561 -0.167468
-2.375326 1.017803 -3.014062 -0.021232 -0.837251 -0.184307
-2.465984 0.147487 -2.429569 0.126770 -0.860989 -0.184282
-2.026944 0.358975 -2.105715 0.120957 -0.857902 -0.196792
-2.379230 0.013957 -2.647358 0.161768 -0.941404 -0.212212
-2.261271 0.995998 -2.859120 0.042360 -0.959240 -0.220354
-2.549132 0.257476 -2.697919 0.140482 -1.037011 -0.237083
-2.259273 0.610041 -2.999433 0.087842 -1.002993 -0.233519
-2.239372 0.878011 -2.481872 0.072706 -1.041170 -0.248148
-2.646499 1.114509 -3.839530 0.017105 -1.107712 -0.252818
-2.180077 0.709437 -2.812625 0.106487 -1.068906 -0.259673
-2.255999 0.860751 -3.136555 0.077866 -1.054837 -0.252326
-2.195548 0.124658 -2.761397 0.190770 -1.104188 -0.272501
-2.581967 0.918911 -2.995061 0.071381 -1.132390 -0.264454
-2.270238 0.139944 -2.639335 0.181609 -1.123579 -0.268496
-2.346166 0.555905 -2.779343 0.123040 -1.123122 -0.256814
-2.397656 0.151085 -2.372758 0.177090 -1.131738 -0.248422
-2.339712 0.975665 -3.131257 0.060322 -1.145380 -0.241928
-2.421487 0.550578 -2.846546 0.113702 -1.135574 -0.228871
-2.194509 0.759037 -2.309419 0.099567 -1.150790 -0.235397
-2.479351 0.505277 -3.060766 0.133279 -1.129926 -0.211008
-1.925661 0.932653 -2.417226 0.090297 -1.102762 -0.219246
-2.080613 0.971927 -3.401961 0.074915 -1.071027 -0.202438
-1.993194 0.374105 -2.223221 0.169976 -1.097472 -0.221798
-1.869689 0.819679 -3.180726 0.092416 -1.046174 -0.210483
-1.931746 0.465191 -2.857159 0.131486 -1.054092 -0.215581
-1.770095 0.729454 -2.972683 0.098424 -1.021232 -0.213833
-1.710575 0.648263 -3.307411 0.097914 -0.994911 -0.206568
-1.656483 0.421802 -2.501831 0.143727 -0.992089 -0.211231
-1.783760 0.785517 -3.026289 0.091640 -0.995601 -0.207463
-1.656074 0.023053 -2.771282 0.197785 -0.969796 -0.203383
-1.679895 0.309436 -2.182296 0.185437 -0.967016 -0.205273
-1.430269 0.600469 -2.981887 0.133836 -0.914042 -0.192373
-1.495417 -0.061914 -2.648272 0.236578 -0.922461 -0.195933
-1.426526 0.209380 -2.539378 0.190534 -0.900048 -0.191621
-1.368402 0.377038 -3.092872 0.151375 -0.879587 -0.184343
-1.366719 -0.143973 -2.229590 0.227425 -0.876175 -0.187823
-1.326753 0.236163 -2.522377 0.165667 -0.858726 -0.182345
-1.351700 0.169899 -2.572370 0.175516 -0.840485 -0.176984
-1.333092 0.222975 -2.668060 0.181831 -0.839980 -0.179509
-1.311744 0.480242 -2.984787 0.131335 -0.824188 -0.176148
-1.457015 0.076506 -2.416550 0.193646 -0.844942 -0.181402
-1.288123 0.428473 -2.790269 0.157378 -0.811321 -0.175403
