EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -1    0     -2    -3    0     -2    0     0    0.29  2.241630
 1     -2    -1    1     -1    0     -1    0    0.35  2.227492
 1     -2    -1    1     -1    0     -1    0    0.31  2.192766
 0     -1    -1    0     -1    -2    0     -1   0.19  2.128136
 -1    -1    0     -2    0     -2    -1    0    0.37  2.033335
 -2    -1    -1    -2    -2    -1    -1    0    0.34  1.906712
 1     -1    -2    0     -1    0     0     0    0.29  1.748292
 0     0     -1    -1    0     -2    -2    -1   0.37  1.558774
 -2    0     0     -1    -1    -2    -1    -2   0.26  1.342397
 -1    0     -2    0     -1    -1    -2    -3   0.26  1.108378
 0     1     0     -1    0     0     -1    0    0.50  0.864443
 -1    -1    -3    1     -1    -1    -1    -2   0.23  0.616576
 -1    -2    0     0     -1    -1    -1    -1   0.43  0.370724
 -1    -2    0     0     -1    -1    -1    -1   0.20  0.132313
 0     -1    -1    -1    -1    -1    -1    0    0.22  -0.092894
 -2    -1    -1    -2    0     0     0     0    0.32  -0.301488
 -2    -2    -1    0     -1    -1    1     -2   0.10  -0.493416
 -2    -1    -2    -1    -1    0     0     0    0.01  -0.668851
 0     -1    1     -1    -1    -1    -2    -1   0.21  -0.828377
 -1    -1    0     -2    -1    -2    -2    -2   0.15  -0.971999
 -1    -3    0     -1    -1    -1    -1    1    0.23  -1.103067
 0     1     1     0     -5    -1    -2    1    0.15  -1.222762
 -2    -1    -2    -2    -1    -1    0     0    0.01  -1.329978
 -2    -2    -1    2     0     0     -2    -2   0.02  -1.422964
 -2    -2    -1    2     0     0     -2    -2   -0.02  -1.501535
 1     1     0     0     -2    -2    0     -3   -0.20  -1.569253
 -2    0     -1    -3    -2    -1    -1    1    -0.02  -1.627464
 -1    1     -2    1     0     0     0     -1   0.09  -1.677084
 -1    1     -2    1     0     0     0     -1   -0.01  -1.717675
 -1    -2    -3    0     -1    -2    -1    -2   -0.08  -1.750829
 -2    -1    0     -2    -1    -1    -2    -3   -0.06  -1.776600
 -1    -2    1     0     -1    -2    -1    0    0.23  -1.795603
 -1    -1    -1    1     1     -1    0     -1   0.01  -1.807711
 -1    -1    -1    1     1     -1    0     -1   0.01  -1.814021
 0     2     -2    -3    0     0     0     0    0.18  -1.815577
 0     -1    1     0     1     0     -1    -2   0.23  -1.814907
 0     0     -1    -2    -1    -2    -1    0    0.09  -1.813410
 -2    -3    -1    -2    -1    -1    -2    0    0.02  -1.812538
 0     -1    -1    -1    -2    -1    -2    1    0.12  -1.811775
 -1    0     0     -1    -2    -1    0     -1   0.10  -1.810326
 -1    -1    -1    -1    -1    0     -2    -2   0.14  -1.806459
 0     -1    -1    -2    -1    -2    -1    0    0.26  -1.798729
 -2    0     -2    -1    -1    0     -2    -3   0.16  -1.787284
 2     0     -1    0     -2    -2    0     -1   0.08  -1.773145
 0     -2    -1    -1    0     -2    0     0    0.13  -1.757088
 0     -1    0     0     -1    0     -1    -1   0.06  -1.739907
 0     0     0     -2    -1    -1    0     0    -0.12  -1.722000
 -1    -1    0     1     -2    0     0     -1   0.06  -1.704625
 -1    -1    0     1     -2    0     0     -1   0.08  -1.687393
 1     -1    -2    0     -2    -1    -1    1    -0.05  -1.669465
 -1    -2    -2    -1    -1    -1    -2    0    0.05  -1.649422
 -1    -1    -1    -1    -2    -1    0     0    0.01  -1.626593
 0     0     -1    -1    -2    0     0     -1   -0.02  -1.600290
 -2    -1    -1    -1    -2    0     -1    -2   -0.09  -1.570020
 -3    1     -1    -2    1     -1    0     -1   -0.15  -1.534976
 0     -1    -1    -2    0     -1    -2    0    0.02  -1.495707
 0     -2    0     -1    -1    -1    -1    -1   0.05  -1.454143
 -1    -1    -3    -1    -1    0     -1    -2   -0.12  -1.412941
 -2    -2    -1    0     -1    -2    -1    0    -0.20  -1.374086
 -2    -2    -1    0     -1    -2    -1    0    -0.09  -1.337528
 -1    0     -2    -1    -1    -1    -1    -1   -0.04  -1.302574
 -1    -1    0     -1    -1    -1    -2    0    -0.01  -1.268427
 -1    -1    0     -1    -1    -1    -2    0    0.07  -1.234883
 1     -2    -1    -1    0     -1    -1    2    0.23  -1.202625
 0     1     -1    -2    -1    -2    0     0    0.23  -1.173117
 -2    0     -1    -1    -1    1     0     0    0.39  -1.148145
 -2    -2    -1    0     -1    1     0     0    0.33  -1.129002
 -2    -1    -1    -2    0     -1    1     -1   0.36  -1.115871
 0     -1    0     0     -1    0     0     0    0.38  -1.109072
 -2    -1    -1    -1    0     -1    -1    -2   0.38  -1.108850
 -2    0     0     0     -1    -2    -1    -1   0.40  -1.116330
 -2    0     0     0     -1    -2    -1    -1   0.54  -1.130070
 -1    -3    -1    -1    1     -1    0     -1   0.59  -1.149039
 -1    -1    0     -1    0     0     -1    -1   0.36  -1.171786
 0     -2    -1    -1    -1    -2    -2    -1   0.46  -1.198243
 -1    -1    -2    -2    -2    1     -1    -1   0.37  -1.228722
 0     1     -1    1     -1    -1    -1    0    0.45  -1.263036
 -1    -2    -2    -1    -2    1     0     -1   0.51  -1.299519
 -2    0     0     0     -1    -2    -2    0    0.48  -1.335867
 2     0     0     -1    -1    -2    -4    -2   0.35  -1.369964
 -2    -3    -3    -3    0     1     1     -1   0.40  -1.401304
 -2    -3    -3    -3    0     1     1     -1   0.58  -1.433266
 -2    -2    -2    0     0     -2    0     0    0.60  -1.471391
 0     0     1     0     -1    -1    -1    -1   0.50  -1.519643
 0     0     1     0     -1    -1    -1    -1   0.55  -1.576799
 0     -1    -1    1     -1    -1    -2    1    0.54  -1.637667
 -1    0     -2    0     0     0     -2    -2   0.60  -1.697686
 -1    0     -2    0     0     0     -2    -2   0.48  -1.754226
 0     -2    0     -1    -2    -3    -1    -1   0.46  -1.805946
 0     -2    0     -1    -2    -3    -1    -1   0.42  -1.850772
 0     0     1     -1    0     0     -2    0    0.54  -1.886601
 0     -1    -2    -3    -1    0     -1    -1   0.62  -1.912974
 0     0     -1    -1    -2    0     0     -2   0.53  -1.931498
 -1    0     -1    -1    -1    -1    0     -1   0.61  -1.944178
 -1    -2    -1    2     -2    -1    0     -1   0.52  -1.952484
 -1    -1    -3    -2    -2    0     -1    -1   0.55  -1.956495
 -1    -1    -3    -2    -2    0     -1    -1   0.40  -1.957260
 -2    0     -1    -2    -1    -1    -1    -2   0.57  -1.955875
 -1    0     0     0     0     0     -1    0    0.59  -1.953478
 -1    -1    -1    0     -2    -2    -2    -1   0.45  -1.950050
 -1    -1    -1    0     -2    -2    -2    -1   0.48  -1.943892
 -1    -2    -1    0     -1    -1    -1    0    0.60  -1.932011
 0     0     -1    -1    -1    0     -1    -1   0.51  -1.912018
 -1    -1    0     -1    0     -1    0     -2   0.44  -1.883985
 0     1     1     -2    0     -1    -2    0    0.51  -1.850563
 -1    -1    -1    -2    -1    -1    -2    -1   0.74  -1.815759
 -1    -2    -1    0     -1    -1    -1    -1   0.78  -1.783048
 -1    -2    0     -1    -1    -2    0     1    0.58  -1.754060
 0     -2    -2    0     0     0     -1    0    0.55  -1.728723
 0     -2    -2    0     0     0     -1    0    0.54  -1.706516
 -1    -1    -1    -2    0     0     -2    -1   0.60  -1.688159
 0     0     -1    -1    -3    -1    0     -1   0.60  -1.674520
 -2    0     0     0     0     1     -1    0    0.61  -1.665015
 0     0     0     -1    0     -2    -1    -2   0.51  -1.659163
 0     2     -1    -2    -1    0     -2    1    0.49  -1.655838
 0     2     -1    -2    -1    0     -2    1    0.56  -1.656291
 -2    -3    -2    -3    -1    -2    -2    -2   0.54  -1.662229
 -1    -2    -1    -1    -1    -1    -1    -1   0.70  -1.674875
 0     -6    -1    -1    0     -1    -1    -2   0.70  -1.694575
 1     3     0     0     1     -2    -1    0    0.59  -1.721140
 1     3     0     0     1     -2    -1    0    0.66  -1.752347
 -1    -2    -2    0     -3    0     1     0    0.54  -1.785082
 -1    -2    -1    0     -1    1     1     0    0.49  -1.814649
 0     1     0     -2    0     -1    1     -1   0.48  -1.838164
 -2    -1    -1    0     -1    -1    -3    -1   0.42  -1.854733
 -4    2     -2    0     0     0     0     -1   0.55  -1.864902
 -1    0     -3    -2    -2    -2    -2    -2   0.47  -1.869238
 -2    -2    0     -1    -1    -1    -1    0    0.47  -1.867096
 -1    -1    -1    0     -2    0     -1    -1   0.33  -1.858751
 -1    -1    -2    -2    -1    -1    1     -1   0.50  -1.844212
 -2    0     1     -2    -1    -2    -4    1    0.67  -1.824454
 -2    0     1     -2    -1    -2    -4    1    0.49  -1.801064
 2     4     1     -2    -1    -1    2     0    0.41  -1.777617
 2     -3    -2    1     -2    0     0     -1   0.36  -1.756934
 -3    -25   -1    -2    0     -1    -1    0    0.31  -1.740821
 -3    -25   -1    -2    0     -1    -1    0    0.06  -1.731585
 0     0     -1    -1    -2    0     3     1    0.04  -1.731237
 0     1     -3    -3    0     1     1     -2   -0.03  -1.742139
 -11   -16   0     1     1     0     0     1    0.07  -1.765679
 -2    18    -1    0     -1    -2    -4    -5   -0.06  -1.801914
 -2    18    -1    0     -1    -2    -4    -5   -0.42  -1.852144
 -4    -12   -1    0     0     0     -3    -2   -0.43  -1.915247
 -2    7     -2    0     1     2     11    3    -0.82  -1.990724
 6     -18   1     0     0     -2    -5    2    -0.97  -2.079566
 -5    -6    -5    0     -1    -1    -2    -4   -1.11  -2.184754
 -1    -1    0     0     1     0     0     -2   -1.40  -2.308998
 -1    -1    0     0     1     0     0     -2   -1.36  -2.452641
 4     -3    -1    -5    -2    -2    -7    2    -1.50  -2.612092
 1     18    -1    -1    -2    -1    2     -2   -1.99  -2.783290
 -4    4     0     0     0     1     0     -2   -2.17  -2.962085
 -1    5     -1    -2    -2    -1    -7    0    -2.68  -3.144910
 -1    5     -1    -2    -2    -1    -7    0    -3.07  -3.326308
 9     3     -5    -1    -1    -1    -3    -3   -3.39  -3.502592
 5     5     1     -1    0     -2    -6    1    -3.72  -3.675572
 -3    6     -1    -1    -1    0     2     -1   -3.95  -3.851164
 -9    -20   -2    -2    -2    -2    2     -1   -4.40  -4.033501
 10    8     1     0     -1    -1    -3    -3   -4.54  -4.228356
 -17   -14   -2    -1    -2    -3    -4    -8   -4.69  -4.447145
 -5    -8    0     -1    0     0     -3    -1   -5.38  -4.704955
 -1    -4    -1    0     0     2     12    1    -5.78  -5.008720
 16    -2    0     -3    -3    0     2     4    -6.48  -5.354525
 -2    8     -1    0     0     -3    -1    -6   -6.73  -5.739991
 -2    8     -1    0     0     -3    -1    -6   -7.13  -6.159613
 0     1     -3    -1    -2    -4    -6    -11  -7.71  -6.596225
 12    22    2     -1    -1    -1    -8    18   -8.16  -7.030279
 7     1     4     0     0     2     7     2    -8.38  -7.453108
 1     5     -3    -1    -1    0     -3    -6   -9.41  -7.861101
 -3    6     -1    -2    -2    -1    -11   2    -9.55  -8.245174
 8     -14   -5    -3    0     -2    -11   2    -9.96  -8.596245
 -7    -2    2     4     0     -1    -11   -3   -10.36  -8.917461
 -13   -1    -5    -1    -3    0     3     -13  -10.78  -9.221992
 -7    -14   3     2     1     -1    -2    4    -11.06  -9.524276
 -3    15    -5    -4    -4    -2    2     -4   -11.16  -9.834129
 -8    10    0     0     -1    -4    -5    -10  -11.79  -10.153146
 -19   22    0     -5    -5    -4    6     -1   -11.83  -10.486018
 -4    -37   -1    2     2     0     3     9    -11.96  -10.846558
 -4    -5    1     -1    -1    0     -2    -11  -12.44  -11.238087
 -4    -5    1     -1    -1    0     -2    -11  -12.72  -11.655449
 -23   -10   -2    -1    -1    -5    -11   -13  -12.92  -12.085531
