EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8   ActualForce  EstimatedForce
 -2    -1    -1    0     -3    -1    -1    -2   -0.36  -1.177014
 -1    -1    0     0     0     -1    -1    -2   -0.26  -1.176846
 0     0     0     0     0     -1    -1    0    -0.43  -1.176235
 0     1     -2    -1    -1    0     -2    0    -0.30  -1.175380
 -1    -1    -1    -1    -1    -2    -2    -1   -0.38  -1.174375
 -2    -2    -1    -3    -2    -1    1     -2   -0.44  -1.173220
 -1    -1    -1    -1    0     0     1     0    -0.42  -1.171668
 0     -1    -2    -2    1     -1    -1    0    -0.42  -1.169400
 -1    -1    -1    -2    0     -1    -2    -2   -0.18  -1.166482
 -1    -1    -1    -2    0     -1    -2    -2   -0.06  -1.162759
 1     -2    -1    -1    0     -2    0     -1   -0.44  -1.157924
 -3    -2    -1    -1    -2    -1    1     -2   -0.21  -1.151440
 -1    -1    -1    -1    -2    2     -1    -1   -0.19  -1.142889
 -1    -2    -3    -1    -2    -1    -1    -1   -0.28  -1.132350
 -1    -2    -3    -1    -2    -1    -1    -1   -0.42  -1.120684
 -2    -1    -1    -2    -1    0     -2    -1   -0.47  -1.108654
 -1    1     0     0     -2    -3    0     -2   -0.40  -1.096587
 0     -2    -1    0     -1    -2    1     -2   -0.48  -1.084821
 -3    0     0     -1    -1    -2    -1    -1   -0.47  -1.073649
 0     -1    -2    -1    -1    -1    -2    -2   -0.30  -1.063124
 0     1     -2    -1    -1    0     1     -1   -0.37  -1.053193
 -2    -1    -1    -2    -3    0     -1    -1   -0.54  -1.044299
 -1    -2    -3    0     0     -1    -2    -1   -0.49  -1.036785
 -1    -2    -3    0     0     -1    -2    -1   -0.47  -1.030433
 -1    0     0     -1    0     0     0     0    -0.41  -1.024979
 0     -1    -1    1     -3    -2    0     -1   -0.48  -1.020026
 0     -1    -1    1     -3    -2    0     -1   -0.33  -1.016057
 -1    -2    1     -1    1     -1    -1    0    -0.61  -1.014068
 -2    -2    -1    -3    0     -1    0     -1   -0.66  -1.014658
 0     0     0     0     0     -2    0     -2   -0.62  -1.017344
 -2    -1    -1    -1    -2    -1    0     -3   -0.54  -1.021260
 -1    -1    1     -1    1     0     0     0    -0.46  -1.025781
 -1    -1    1     -1    1     0     0     0    -0.53  -1.030491
 -10   -4    -1    0     -2    0     -2    -2   -0.47  -1.034503
 -10   -4    -1    0     -2    0     -2    -2   -0.46  -1.034603
 3     3     1     -1    0     -2    -2    0    -0.47  -1.026392
 -1    -2    -1    -1    0     -1    -1    -3   -0.62  -1.007627
 0     -1    -4    -2    2     0     -2    -1   -0.62  -0.979192
 0     -1    -4    -2    2     0     -2    -1   -0.67  -0.943558
 1     0     0     0     -2    -1    0     -1   -0.52  -0.903672
 0     -22   -2    -2    -2    -1    -1    0    -0.56  -0.862316
 0     -22   -2    -2    -2    -1    -1    0    -0.57  -0.821833
 0     4     -1    -1    -2    -1    -1    0    -0.61  -0.784328
 0     4     -1    -1    -2    -1    -1    0    -0.55  -0.751616
 -3    3     -1    -2    -1    -1    2     1    -0.59  -0.724729
 -2    -5    0     0     -1    -1    1     0    -0.73  -0.703476
 -2    -5    0     0     -1    -1    1     0    -0.82  -0.686824
 0     6     -2    -1    -3    1     -2    -1   -0.94  -0.674014
 2     3     -2    -2    0     0     1     -3   -1.13  -0.665031
 2     3     -2    -2    0     0     1     -3   -1.18  -0.659598
 -4    15    -1    1     0     -1    -3    0    -1.35  -0.656691
 -2    -8    -3    -2    -2    -2    1     -2   -1.54  -0.654384
 -2    -8    -3    -2    -2    -2    1     -2   -1.45  -0.651498
 -2    -11   -3    -2    -1    -1    -1    -1   -1.41  -0.647779
 3     4     2     -1    -3    -1    1     1    -1.44  -0.643466
 3     4     2     -1    -3    -1    1     1    -1.63  -0.638652
 -5    0     -2    0     -2    -1    -1    -1   -1.82  -0.633066
 -5    0     -2    0     -2    -1    -1    -1   -1.80  -0.626017
 -3    -9    -2    0     -1    -3    -3    -1   -1.79  -0.616315
 -2    -8    1     0     1     -2    -1    -1   -2.03  -0.603207
 1     -3    -2    -1    -3    -2    -3    1    -2.12  -0.587043
 0     5     1     1     0     -1    -1    0    -2.32  -0.569086
 5     15    -1    -2    0     1     1     -2   -2.44  -0.550429
 12    4     -1    1     0     -2    1     3    -2.53  -0.530023
 12    4     -1    1     0     -2    1     3    -2.89  -0.503107
 0     4     0     -3    -2    0     3     -2   -2.96  -0.464713
 0     4     0     -3    -2    0     3     -2   -3.26  -0.414298
 0     -2    -1    -1    0     1     -1    -3   -3.36  -0.355482
 -16   -37   -2    0     -3    -1    -3    -3   -3.45  -0.291227
 -16   -37   -2    0     -3    -1    -3    -3   -3.87  -0.219551
 1     9     0     -1    0     -1    2     1    -4.03  -0.135802
 -3    -4    -4    -2    -1    0     3     0    -4.14  -0.039243
 -4    -5    -1    1     -1    -1    0     -7   -4.52  -0.144263
 -4    -5    -1    1     -1    -1    0     -7   -4.82  -0.387326
 5     -10   2     -1    1     -1    0     2    -5.44  -0.639681
 5     -10   2     -1    1     -1    0     2    -5.69  -0.897711
 4     3     -1    1     1     0     0     5    -5.88  -1.158474
 -6    3     -3    -1    -2    -1    -7    -7   -6.02  -1.419112
 -6    3     -3    -1    -2    -1    -7    -7   -6.34  -1.677295
 -12   -5    -6    -4    -2    -3    -9    -2   -6.71  -1.932831
 13    19    0     -3    -3    0     -1    1    -6.92  -2.189436
 13    19    0     -3    -3    0     -1    1    -7.56  -2.454010
 -9    7     -2    -3    -3    -1    3     -4   -7.82  -2.732473
 -7    2     -1    -1    0     -1    -3    0    -8.23  -3.026287
 -7    2     -1    -1    0     -1    -3    0    -8.62  -3.333328
 -2    -2    0     -2    -1    -3    1     -2   -8.87  -3.649085
 3     -4    -1    -1    1     0     -2    0    -9.18  -3.966681
 3     -4    -1    -1    1     0     -2    0    -9.56  -4.277048
 18    36    4     1     0     -1    0     -4   -9.93  -4.575190
 18    36    4     1     0     -1    0     -4   -10.35  -4.867557
 3     1     -3    0     0     2     11    13   -10.74  -5.166267
 -15   -30   -4    -1    -1    -1    -13   -16  -11.10  -5.477058
 27    19    3     3     1     1     2     21   -11.57  -5.804317
 0     -4    4     1     2     4     6     0    -11.92  -6.157112
 11    0     -5    -5    -6    -4    -4    3    -12.45  -6.535761
 0     7     0     0     0     2     4     4    -12.81  -6.927814
 4     -37   4     2     2     -1    -6    -6   -13.10  -7.317434
 0     9     0     3     2     3     6     -7   -13.46  -7.688199
 0     9     0     3     2     3     6     -7   -13.79  -8.025821
 -18   -4    -2    -3    -2    -4    -3    -8   -14.19  -8.320416
 -2    4     -11   -9    -7    -4    2     2    -14.46  -8.571502
 -2    4     -11   -9    -7    -4    2     2    -14.94  -8.778595
 13    29    -3    0     0     -1    -8    -5   -15.35  -8.936516
 -8    -2    -4    -1    -2    1     7     1    -15.95  -9.045033
 -2    11    -1    -2    0     1     -7    -12  -16.72  -9.109803
 12    -30   -4    -2    -2    -4    -2    17   -17.22  -9.136065
 -8    -2    2     0     0     -6    -26   -17  -17.68  -9.128920
 -8    -2    2     0     0     -6    -26   -17  -18.22  -9.096847
 -4    1     0     0     0     2     14    33   -18.72  -9.045864
 21    26    -3    -4    -5    -5    -3    -12  -18.97  -8.981771
 -14   -3    0     1     0     2     6     -20  -19.19  -8.915475
 3     7     -3    -3    0     2     6     -21  -19.49  -8.859388
 -37   28    1     -4    -5    -4    3     -7   -20.16  -8.821994
